periodos,disponible,cta_margen,inversion_valores,titulos_negociar,titulos_vencimiento,deudores_reportos,derivados,fines_negociacion,fines_cobertura,ajustes_cobertura_activos_finan,total_cartera_vigente,total_cartera_vencida,total_cartera_cred,estimacion_preven_riesgos_cred,total_cartera_credito_neto,deudores_primas,ctas_cobrar_reasegur_reafian,bienes_adjudicados,inmuebles_mob_eq,inversione_permanente,activos_disponibles_venta,impuesto_ptu_diferidos,otros_activos,cargo_difer_pago_anticipintang,total_activo,Banc,beneficios_x_recibir_oper_burzatilizacion
2T20,181837,25838,730843,362401,183308,13885,290139,266614,23525,2401,1281447,25017,1306464,41922,1264542,7132,710,1334,36908,1139,0,21293,23898,23898,2708462,BBVA,
3T20,218704,26005,797137,398852,188660,10655,228687,208343,20344,2129,1253281,25940,1279221,41563,1237658,6840,707,1415,36272,1446,0,22828,22047,22047,2709335,BBVA,
4T20,223687,32261,804360,386578,190021,23314,213927,197606,16321,2488,1211829,37484,1249313,48348,1200965,7528,1316,1317,36386,1333,107,24223,24054,24054,2704552,BBVA,
1T21,256252,19360,821306,376565,197034,5143,156947,143297,13650,1097,1229328,32980,1262308,45418,1216890,9198,1404,1241,35642,1357,0,25799,17534,17534,2688394,BBVA,
2T21,308121,15282,838798,403571,187808,7154,145882,132680,13202,1102,1236351,30100,1266451,42706,1223745,9062,3680,1188,35233,1293,0,25184,16580,16580,2779781,BBVA,
1T20,157212,20919,,381213,150632,19038,339543,314102,25441,1194,1314032,29116,1343148,43220,1299928,8096,629,1378,37634,1165,0,25591,18796,18796,2789095,BBVA,18
2T21,113843,5209,458685,122957,11375,39505,200890,193024,7866,123.0,1314032,29116,710323,24152,686171,,,106.0,11868,2182,,19432,44.0,11333,1634384,Santander,0.0
1T21,97483,4017,558857,204194,11331,47713,228247,218097,10150,167.0,1314032,29116,713989,24937,689052,,,92.0,12045,1168,,19675,42.0,10903,1748298,Santander,151.0
4T21,94802,4122,575415,208089,11287,62294,304687,296381,8306,281.0,1314032,29116,702769,25291,677478,,,135.0,12376,1091,,19225,42.0,10477,1856213,Santander,160.0
3T20,83502,3876,552369,173679,11268,21813,324984,315071,9913,371.0,1314032,29116,735330,25850,709480,,,119.0,10746,1012,,20766,40.0,9459,1858684,Santander,158.0
2T20,85658,4638,540938,175739,11221,36848,385504,376412,9092,421.0,1314032,29116,751219,26157,725062,,,136.0,10185,913,,21560,40.0,9324,1929350,Santander,155.0
1T20,113427,4929,368394,116232,11162,66147,346921,334082,12839,264.0,1314032,29116,775809,22664,753145,,,155.0,10343,359,,21849,39.0,9991,1802210,Santander,154.0
1T20,90877,9701,600550,238956,156631,2810,50232,48940,1292,65.0,779818,13212,793030,18504,776025,8003,8162,1096,19833,13489,,3742,199020,51139,1729280,Banorte,161
2T20,106047,18353,644463,243834,169514,1928,64089,61705,2384,62.0,791637,9254,800891,18555,783774,9196,8872,1075,31151,13894,,201,164866,40257,1783581,Banorte,156
3T20,100081,16312,664342,223752,189366,3797,55704,53819,1885,58.0,798478,6660,805138,17666,788814,7032,7924,976,31682,14368,,0,166199,39203,1795306,Banorte,151
4T20,109306,18099,661865,223390,193652,4036,50277,48233,2043,54.0,802138,8931,811070,20004,792682,4353,7269,1553,32627,14804,,0,151585,39439,1787904,Banorte,110
1T21,116394,11012,704162,260030,207858,3148,29068,28458,609,51.0,800328,10607,810935,19670,792794,11144,7521,1552,32806,13511,,0,153579,39790,1810207,Banorte,2
2T21,110852,8703,699992,252901,215382,2928,25072,24423,648,47.0,794544,11202,805746,18175,788992,8638,7707,1953,20502,14155,,0,165777,54416,1802363,Banorte,
