periodos,ingresos_interes,ingresos_primas,gastos_intereses,inc_net_reservas_tecnicas,siniestralidad,marg_fin,estim_preventiva_riesgos_cred,marg_fin_riesgos_cred,comision_tarifacobrada,comision_tarifapagada,resultado_intermediacion,ingresos_operacion,gastos_admon_promo,resultado_operacion,resul_no_consoli_asociada,impuesto_util_causados,impuesto_util_diferidos,result_subsidia_asociada,result_antes_opera_disconti,operacion_discontinuada,particip_no_controladora,resultado_neto,Banc,resul_antes_impues_util
2T20,43526,5043,15153,1859,6186,29089,7613,21476,9116,3584,4554,631,16237,14694,1.0,701,2803,20.0,11191,0,2,11189,BBVA,
3T20,47619,5987,11991,341,7229,34045,7008,27037,10572,4073,2970,542,16317,20731,22.0,8120,1619,42.0,14252,0,0,14252,BBVA,
4T20,46293,6532,10599,1011,7323,35914,16270,19644,12102,4779,2292,122,16853,12284,18.0,5333,1829,0.0,8798,0,1,8799,BBVA,
1T21,46996,9395,10123,2617,8892,34759,10450,24309,11175,4471,1802,169,17409,15237,133.0,3514,769,0.0,11087,0,0,11087,BBVA,
2T21,45576,6829,9841,414,8569,34409,6479,27930,12194,5154,3455,1070,17845,21650,25.0,6260,602,0.0,14813,0,5,14808,BBVA,
1T20,54302,7155,17546,238,7714,36435,16237,20198,11142,4630,2900,270,16683,12657,28.0,6282,2215,19.0,,,2,8620,BBVA,12685
2T:1,25098,,9328,,,15770,5068,10702,6662,1789,817,542,9955,5895,50.0,373,859,,,,,4713,Santander,5945
1T:1,25099,,9514,,,15585,7075,8510,6535,1633,1398,664,9894,4252,77.0,1151,101,,,,,3279,Santander,4329
4T21,26541,,10269,,,16272,3152,13120,6201,1492,723,379,11102,7071,79.0,1065,605,,,,,5480,Santander,7150
3T21,27503,,11414,,,16089,4596,11493,5659,969,1292,409,10429,6637,60.0,1364,303,,,,,5030,Santander,6697
2T21,29383,,13452,,,15931,8350,7581,6188,1590,3283,232,9599,5631,35.0,2023,587,,,,,4230,Santander,5666
1T21,30847,,13951,,,16896,5165,11731,6508,1811,883,212,9785,7314,4.0,3044,1140,,,,,5414,Santander,7318
1T20,36519,12155,36519,7946,4592,21968,4344,17623,6115,2660,1166,327,10466,12106,353.0,3555,328,,9231,,113,9118,Banorte,12459
2T20,32350,8118,32350,1216,5613,20683,8456,12227,5406,2337,1703,1140,10307,7832,648.0,947,939,,6593,,75,6518,Banorte,8480
3T20,32987,7385,32987,4262,5433,20601,3138,17463,5708,2611,1128,656,10627,11717,492.0,2477,702,,9030,,124,8906,Banorte,12208
4T20,30296,9192,30296,4368,6281,19580,5993,13587,6775,3176,858,859,11612,7290,509.0,2268,511,,6043,,77,5966,Banorte,7800
1T21,32142,15340,32142,11016,7097,20002,3215,16788,6380,3166,964,822,10883,10905,429.0,1909,769,,8656,,112,8544,Banorte,11334
2T21,31016,8602,31016,4983,5777,19649,2765,16883,6685,3396,840,609,10851,10771,675.0,1738,1017,,8690,,122,8568,Banorte,11446
