Table
"Grupo Financiero BBVA Bancomer, S.A. Calificación de la cartera de crédito ",de C.V. Comercial ,,Vivienda ,,Consumo ,,Tarjeta de ,Crédito ,TOTAL ,
Marzo 2021 Millones de pesos ,Saldo ,Reserva ,Saldo ,Reserva ,Saldo ,Reserva ,Saldo ,Reserva ,Saldo ,Reserva 
Nivel de Riesgo ,,,,,,,,,,
A1 ,"662,217 ","1,711 ","218,279 ",252 ,"56,266 ",496 ,"49,196 ",851 ,"985,958 ","3,310 "
A2 ,"59,727 ",699 ,"1,832 ",12 ,"12,592 ",319 ,"13,716 ",537 ,"87,867 ","1,567 "
B1 ,"13,461 ",231 ,"6,472 ",58 ,"54,355 ","1,806 ","8,093 ",465 ,"82,381 ","2,560 "
B2 ,"10,175 ",223 ,"11,400 ",136 ,"31,004 ","1,408 ","7,263 ",527 ,"59,842 ","2,294 "
B3 ,"15,714 ",540 ,"2,458 ",39 ,"8,963 ",495 ,"7,164 ",638 ,"34,299 ","1,712 "
C1 ,"4,732 ",325 ,"8,174 ",253 ,"6,507 ",475 ,"7,746 ",925 ,"27,159 ","1,978 "
C2 ,"2,140 ",148 ,"4,267 ",311 ,"4,128 ",416 ,"10,050 ","2,417 ","20,585 ","3,292 "
D ,"3,953 ","1,364 ","5,912 ","1,537 ","2,508 ",584 ,"1,562 ",813 ,"13,935 ","4,298 "
E Adicional ,"12,147 ","7,294 ","3,460 ","1,819 ","9,694 ","6,820 ","2,283 ","1,930 ","27,584 ","17,863 6,544 "
Total requerido ,"784,266 ","12,535 ","262,254 ","4,417 ","186,017 ","12,819 ","107,073 ","9,103 ","1,339,610 ","45,418 "


Table
Millones de pesos ,Exposición ,Exposición Media ,PI % ,Severidad % 
Empresas con Ventas < 14 Millones Udis ,"106,031 ","102,263 ",10.2 ,43.2 
Empresas con Ventas > 14 Millones Udis ,"352,391 ","361,265 ",2.7 ,39.8 
Entidades Federativas y Municipios ,"145,236 ","136,368 ",0.6 ,47.7 
Instituciones Financieras ,"24,903 ","25,963 ",0.7 ,56.2 
Proyectos ,"28,544 ","28,372 ",1.6 ,20.5 
Disponibles ,"16,187 ","16,984 ",1.6 ,45.0 
TDC ,"27,842 ","28,211 ",11.0 ,44.5 
Total ,"701,134 ","699,426 ",3.6 ,42.1 


Table
Millones de pesos ,Exposición ,Exposición Media ,PI % ,Severidad % 
Comercial ,"701,134 ","699,426 ",3.6 ,42.1 
Consumo ,"183,241 ","183,847 ",9.3 ,69.9 
Hipotecario ,"261,088 ","259,068 ",5.3 ,15.9 
Tdc ,"146,460 ","147,898 ",8.5 ,77.3 


