Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. Margen Financiero Millones de pesos ",1T 2020 ,4T 2020 ,1T 2021 ,% Var Trim ,Var Anual 
"Ingreso financiero por crédito y captación, neto ","40,535 ","40,646 ","41,353 ",1.7 ,2.0 
"Comisiones de margen, neto ",523 ,526 ,539 ,2.5 ,3.1 
"Ingreso financiero por reportos, neto ","(4,301) ","(5,477) ","(5,018) ",(8.4) ,16.7 
"Ingreso por primas y reservas, neto ",(321) ,219 ,"(2,115) ","(1,065.8) ",558.9 
Margen financiero ,"36,435 ","35,914 ","34,759 ",(3.2) ,(4.6) 
Estimación preventiva para riesgos crediticios ,"(16,237) ","(16,270) ","(10,450) ",(35.8) ,(35.6) 
Margen financiero ajustado por riesgos crediticios ,"20,198 ","19,644 ","24,309 ",23.7 ,20.4 


Table
"Grupo Financiero BBVA Bancomer, ",S.A. ,de C.V. ,,% ,
Comisiones y Tarifas Millones de pesos ,1T 2020 ,4T 2020 ,1T 2021 ,Var Trim ,Var Anual 
Comisiones bancarias ,"1,724 ","1,951 ","1,600 ",(18.0) ,(7.2) 
Tarjeta de Crédito y débito ,"3,679 ","4,205 ","3,799 ",(9.7) ,3.3 
Fondos de inversión ,"1,224 ","1,291 ","1,279 ",(0.9) ,4.5 
Otros ,(115) ,(124) ,26 ,(121.0) ,(122.6) 
Comisiones y tarifas neto ,"6,512 ","7,323 ","6,704 ",(8.5) ,2.9 


