Table
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo ",Financiero ,BBVA Bancomer ,,,,
Capitalización Estimada Millones de pesos ,Marzo 2020 ,,Diciembre 2020 ,,Marzo 2021* ,
Capital Básico ,,"197,354 ",,"235,404 ",,"238,420 "
Capital Complementario ,,"62,544 ",,"50,909 ",,"50,940 "
Capital Neto ,,"259,898 ",,"286,313 ",,"289,360 "
,Riesgo ,Riesgo Créd. ,Riesgo ,Riesgo Créd. ,Riesgo ,Riesgo Créd. 
,Crédito ,Mdo.y Opnal. ,Crédito ,Mdo.y Opnal. ,Crédito ,Mdo.y Opnal. 
Activos en Riesgo ,"1,184,457 ","1,721,841 ","1,085,281 ","1,634,681 ","1,070,751 ","1,638,636 "
Capital Básico como % de los Activos en Riesgo ,16.7% ,11.46% ,21.69% ,14.40% ,22.27% ,14.55% 
Capital Complementario como % de los Activos en Riesgo ,5.3% ,3.63% ,4.69% ,3.11% ,4.76% ,3.11% 
Indice de Capitalización Total Estimado ,21.9% ,15.09% ,26.38% ,17.51% ,27.02% ,17.66% 


