Table
Calificación de Emisor - Moneda Extranjera ,BBB ,A-2 ,Negativa 
Calificación de Emisor - Moneda Local ,BBB ,A-2 ,Negativa 
Escala Nacional ,MxAAA ,MxA-1+ ,Estable 
Fortaleza del Perfil Crediticio ,bbb+ ,,
,,,
Moody's ,,,
Calificación de Depósitos - Moneda Extranjera ,Baal ,P-2 ,Negativa 
Calificación de Depósitos - Moneda Local ,Baal ,P-2 ,Negativa 
Calificación de Depósitos - Escala Nacional ,Aaa.mx ,MX-1 ,
Fortaleza Financiera ,baal ,,
,,,
Fitch ,,,
Calificación Internacional - Moneda Extranjera ,BBB ,F2 ,Estable 
Calificación Internacional - Moneda Local ,BBB ,F2 ,Estable 
Calificación Nacional ,AAA(mex) ,F1 + (mex) ,Estable 
Viabilidad Financiera ,bbb ,,


