Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. Millones de pesos ",Mar 2020 ,Jun 2020 ,Sep 2020 ,Dic 2020 ,Mar 2021 
DISPONIBILIDADES ,"157,212 ","181,837 ","218,704 ","223,687 ","256,252 "
Cuentas de margen ,"20,919 ","25,838 ","26,005 ","32,261 ","19,360 "
INVERSIONES EN IVALORES ,"725,463 ","730,843 ","797,137 ","804,360 ","821,306 "
Títulos para negociar ,"381,213 ","362,401 ","398,852 ","386,578 ","376,565 "
Títulos disponibles para la venta ,"193,618 ","185,134 ","209,625 ","227,761 ","247,707 "
Títulos conservados a vencimiento ,"150,632 ","183,308 ","188,660 ","190,021 ","197,034 "
Deudores por reporto ,"19,038 ","13,885 ","10,655 ","23,314 ","5,143 "
Derivados ,"339,543 ","290,139 ","228,687 ","213,927 ","156,947 "
Con Fines de Negociación ,"314,102 ","266,614 ","208,343 ","197,606 ","143,297 "
Con Fines de Cobertura ,"25,441 ","23,525 ","20,344 ","16,321 ","13,650 "
Ajustes de valuación por cobertura de activos financieros ,"1,194 ","2,401 ","2,129 ","2,488 ","1,097 "
TOTAL CARTERA DE CREDITO VIGENTE ,"1,314,032 ","1,281,447 ","1,253,281 ","1,211,829 ","1,229,328 "
Créditos comerciales ,"780,692 ","749,098 ","717,641 ","678,572 ","694,679 "
Actividad empresarial O comercial ,"593,575 ","570,758 ","534,926 ","488,878 ","496,702 "
Entidades financieras ,"34,830 ","28,600 ","26,762 ","28,079 ","24,558 "
Entidades gubernamentales ,"152,287 ","149,740 ","155,953 ","161,615 ","173,419 "
Créditos de consumo ,"298,906 ","289,983 ","290,740 ","284,348 ","281,630 "
Créditos a la vivienda ,"234,434 ","242,366 ","244,900 ","248,909 ","253,019 "
Media y residencial ,"225,554 ","233,339 ","237,505 ","241,968 ","246,255 "
De interés social ,"8,880 ","9,027 ","7,395 ","6,941 ","6,764 "
TOTAL CARTERA DE CREDITO VENCIDA ,"29,116 ","25,017 ","25,940 ","37,484 ","32,980 "
Créditos comerciales ,"10,082 ","10,243 ","9,932 ","11,983 ","12,131 "
Actividad empresarial O comercial ,"10,082 ","10,243 ","9,932 ","11,983 ","12,131 "
Créditos de consumo ,"10,843 ","8,317 ","7,778 ","16,147 ","11,614 "
Créditos a la vivienda ,"8,191 ","6,457 ","8,230 ","9,354 ","9,235 "
Media y residencial ,"7,611 ","5,992 ","7,729 ","8,824 ","8,747 "
De interés social ,580 ,465 ,501 ,530 ,488 
TOTAL CARTERA DE CREDITO ,"1,343,148 ","1,306,464 ","1,279,221 ","1,249,313 ","1,262,308 "
Estimación preventiva para riesgos crediticios ,"(43,220) ","(41,922) ","(41,563) ","(48,348) ","(45,418) "
TOTAL DE CARTERA DE CREDITO (NETO) ,"1,299,928 ","1,264,542 ","1,237,658 ","1,200,965 ","1,216,890 "
Deudores por primas (neto) ,"8,096 ","7,132 ","6,840 ","7,528 ","9,198 "
Cuentas por cobrar a reaseguradores y reafianzadores (neto) ,629 ,710 ,707 ,"1,316 ","1,404 "
Beneficios por recibir en operaciones de bursatilización ,18 ,O ,O ,0 ,0 
Otras cuentas por cobrar (neto) ,"132,491 ","106,563 ","96,805 ","107,286 ","119,224 "
Bienes adjudicados (neto) ,"1,378 ","1,334 ","1,415 ","1,317 ","1,241 "
"Inmuebles, mobiliario y equipo (neto) ","37,634 ","36,908 ","36,272 ","36,386 ","35,642 "
Inversiones permanentes ,"1,165 ","1,139 ","1,446 ","1,333 ","1,357 "
Activos de larga duración disponibles para la venta ,O ,O ,O ,107 ,0 
Impuestos y PTU diferidos (neto) ,"25,591 ","21,293 ","22,828 ","24,223 ","25,799 "
Otros activos ,"18,796 ","23,898 ","22,047 ","24,054 ","17,534 "
"Cargos diferidos, pagos anticipados e intangibles ","18,796 ","23,898 ","22,047 ","24,054 ","17,534 "
TOTAL ACTIVO ,"2,789,095 ","2,708,462 ","2,709,335 ","2,704,552 ","2,688,394 "


