Table
Cuentas de riesgo propias ,"5,141,082 "
Activos y Pasivos Contingentes ,904 
Compromisos Crediticios ,"626,480 "
Bienes en fideicomiso O mandato ,"426,571 "
Mandatos ,227 
Fideicomisos ,"426,344 "
Bienes en custodia O en administración ,"196,519 "
Colaterales recibidos por la entidad ,"110,591 "
Colaterales recibidos y vendidos O entregados en gtía. por la entidad ,"92,534 "
Intereses devengados no cobrados derivados de cartera de crédito vda. ,"3,312 "
Otras cuentas de registro ,"3,684,171 "
,
Totales por cuenta propia ,"5,141,082 "
Acciones entregadas en custodia (unidades) ,"15,854,682,820 "


Table
Clientes cuentas corrientes ,565 
Bancos de clientes ,226 
Liquidación de operaciones de clientes ,339 
Premios de clientes ,O 
Valores de clientes ,"1,562,913 "
Valores y documentos recibidos en garantía ,60 
Valores de clientes recibidos en custodia ,"1,562,853 "
Operaciones por cuenta de clientes ,"1,332 "
Operaciones de reporto de clientes ,642 
Colaterales recibidos en garantía por cuenta de clientes ,690 
Operaciones de préstamos de valores de clientes ,O 
Operaciones de banca de inversión por cuenta de terceros (neto) ,"1,695,175 "
Totales por cuenta de terceros ,"3,259,985 "
Capital social histórico ,"1,020 "


