Table
"Grupo Financiero BBVA Bancomer, S.A. ",de C.V. ,,,% ,
Utilidad Neta Millones de pesos ,1T 2020 ,4T 2020 ,1T 2021 ,Var Trim ,Var Anual 
GFBB ,,,,,
Resultado de la controladora ,O ,25 ,39 ,56.0 ,100.0 
Negocio Bancario* ,"6,589 ","7,669 ","9,788 ",27.6 ,48.6 
Sector Seguros ,"2,026 ","1,106 ","1,277 ",15.5 ,(37.0) 
Casa de Bolsa BBVA Bancomer ,138 ,144 ,114 ,(20.8) ,(17.4) 
BBVA Bancomer Gestión ,41 ,55 ,44 ,(20.0) ,7.3 
Participación no controladora y otros ,(174) ,(200) ,(175) ,(12.5) ,0.6 
Total Utilidad neta ,"8,620 ","8,799 ","11,087 ",26.0 ,28.6 


Table
Negocios no Bancarios Millones de pesos ,3M 2020 ,6M 2020 ,9M 2020 ,12M 2020 ,3M 2021 
,,,,,
"Seguros BBVA Bancomer, S.A. de C.V. ",,,,,
Total de activo ,"130,555 ","133,100 ","138,919 ","140,889 ","146,608 "
Total de capital ,"8,447 ","9,732 ","10,742 ","9,095 ","9,782 "
Total de primas emitidas (nominales) ,"16,208 ","23,364 ","33,974 ","46,288 ","16,793 "
"Pensiones BBVA Bancomer, S.A. de C.V. ",,,,,
Total de activo ,"114,313 ","114,868 ","118,632 ","119,405 ","124,708 "
Total de capital ,"5,553 ","5,739 ","6,445 ","6,856 ","7,186 "
"Casa de Bolsa BBVA Bancomer, S.A. de C.V. ",,,,,
Total de activo ,735 ,826 ,900 ,"1,113 ","1,205 "
Total de capital ,618 ,693 ,806 ,950 ,"1,062 "
BBVA Bancomer Gestión S.A. de C.V. ,,,,,
Total de activo ,764 ,830 ,879 ,936 ,"1,002 "
Total de capital ,305 ,361 ,415 ,469 ,513 


