Table
,Riesgo Crédito ,Riesgo Crédito Mdo.y Opnal. ,Riesgo Crédito ,Riesgo Crédito Mdo.y Opnal. ,Riesgo Crédito ,Riesgo Crédito Mdo.y Opnal. 
Activos en Riesgo ,"1,133,748 ","1,654,258 ","1,184,457 ","1,721,841 ","1,147,420 ","1,710,196 "
Capital Básico como % de los Activos en Riesgo ,17.3% ,11.9% ,16.7% ,11.5% ,18.5% ,12.4% 
Capital Complementario como % de los Activos en Riesgo ,3.4% ,2.3% ,5.3% ,3.6% ,5.4% ,3.6% 
Indice de Capitalización Total ,20.7% ,14.2% ,21.9% ,15.1% ,23.9% ,16.0% 


Table
"BBVA Bancomer, S.A., Institución de Banca Múltiple, ",Grupo Financiero ,BBVA Bancomer ,
Capitalización Millones de pesos ,Junio 2019 ,Marzo 2020 ,Junio 2020 
Capital Básico ,"196,216 ","197,354 ","212,394 "
Capital Complementario ,"38,254 ","62,544 ","61,477 "
Capital Neto ,"234,470 ","259,898 ","273,871 "


