Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. Millones de pesos ",Jun 2019 ,Sep 2019 ,Dic 2019 ,Mar 2020 ,Jun 2020 
DISPONIBILIDADES ,"225,948 ","164,036 ","150,711 ","157,212 ","181,837 "
Cuentas de margen ,"12,912 ","17,614 ","18,329 ","20,919 ","25,838 "
INVERSIONES EN VALORES ,"622,366 ","620,916 ","669,648 ","725,463 ","730,843 "
Títulos para negociar ,"365,690 ","360,174 ","373,166 ","381,213 ","362,401 "
Títulos disponibles para la venta ,"127,034 ","127,906 ","160,965 ","193,618 ","185,134 "
Títulos conservados a vencimiento ,"129,642 ","132,836 ","135,517 ","150,632 ","183,308 "
Deudores por reporto ,"5,067 ","5,818 ","11,263 ","19,038 ","13,885 "
Derivados ,"112,162 ","129,979 ","120,309 ","339,543 ","290,139 "
Con Fines de Negociación ,"97,222 ","117,018 ","109,377 ","314,102 ","266,614 "
Con Fines de Cobertura ,"14,940 ","12,961 ","10,932 ","25,441 ","23,525 "
Ajustes de valuación por cobertura de activos financieros ,699 ,"1,384 ","1,310 ","1,194 ","2,401 "
TOTAL CARTERA DE CREDITO VIGENTE ,"1,175,216 ","1,182,489 ","1,218,088 ","1,314,032 ","1,281,447 "
Créditos comerciales ,"665,189 ","659,811 ","684,509 ","780,692 ","749,098 "
Actividad empresarial O comercial ,"509,557 ","505,879 ","507,622 ","593,575 ","570,758 "
Entidades financieras ,"25,275 ","26,452 ","33,162 ","34,830 ","28,600 "
Entidades gubernamentales ,"130,357 ","127,480 ","143,725 ","152,287 ","149,740 "
Créditos de consumo ,"288,667 ","296,500 ","302,366 ","298,906 ","289,983 "
Créditos a la vivienda ,"221,360 ","226,178 ","231,213 ","234,434 ","242,366 "
Media y residencial ,"211,171 ","216,540 ","222,023 ","225,554 ","233,339 "
De interés social ,"10,189 ","9,638 ","9,190 ","8,880 ","9,027 "
TOTAL CARTERA DE CREDITO VENCIDA ,"24,602 ","27,031 ","27,455 ","29,116 ","25,017 "
Créditos comerciales ,"8,926 ","9,629 ","9,518 ","10,082 ","10,243 "
Actividad empresarial O comercial ,"8,926 ","9,629 ","9,518 ","10,082 ","10,243 "
Créditos de consumo ,"9,385 ","9,959 ","10,342 ","10,843 ","8,317 "
Créditos a la vivienda ,"6,291 ","7,443 ","7,595 ","8,191 ","6,457 "
Media y residencial ,"5,734 ","6,829 ","7,033 ","7,611 ","5,992 "
De interés social ,557 ,614 ,562 ,580 ,465 
TOTAL CARTERA DE CREDITO ,"1,199,818 ","1,209,520 ","1,245,543 ","1,343,148 ","1,306,464 "
Estimación preventiva para riesgos crediticios ,"(34,056) ","(35,436) ","(35,486) ","(43,220) ","(41,922) "
TOTAL DE CARTERA DE CREDITO (NETO) ,"1,165,762 ","1,174,084 ","1,210,057 ","1,299,928 ","1,264,542 "
Deudores por primas (neto) ,"6,876 ","6,604 ","7,097 ","8,096 ","7,132 "
Cuentas por cobrar a reaseguradores y reafianzadores (neto) ,622 ,541 ,493 ,629 ,710 
Beneficios por recibir en operaciones de bursatilización ,50 ,40 ,25 ,18 ,O 
Otras cuentas por cobrar (neto) ,"93,166 ","106,099 ","93,903 ","132,491 ","106,563 "
Bienes adjudicados (neto) ,"1,489 ","1,417 ","1,438 ","1,378 ","1,334 "
"Inmuebles, mobiliario y equipo (neto) ","39,067 ","38,126 ","38,538 ","37,634 ","36,908 "
Inversiones permanentes ,882 ,894 ,"1,150 ","1,165 ","1,139 "
Impuestos y PTU diferidos (neto) ,"19,389 ","19,216 ","22,530 ","25,591 ","21,293 "
Otros activos ,"17,116 ","17,025 ","16,229 ","18,796 ","23,898 "
"Cargos diferidos, pagos anticipados e intangibles ","17,116 ","17,025 ","16,229 ","18,796 ","23,898 "
TOTAL ACTIVO ,"2,323,573 ","2,303,793 ","2,363,030 ","2,789,095 ","2,708,462 "


