Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. ",Capital ,Contribuido ,,,,Capital Ganado ,,,,,
Estado de variaciones en el capital contable 1 de Enero al 30 de Junio de 2020 Millones de pesos ,Capital social ,Prima en venta de acciones ,Reservas de capital ,Resultado de ejercicios anteriores ,Resultado por valuación de títulos disponibles para la venta ,Resultado por valuación de instrumentos de cobertura de flujos de efectivo ,Efecto acumulado por conversión ,Remediciones por beneficios definidos a los empleados ,Resultado neto ,Participación no controladora ,Total Capital Contable 
Saldos al 31 de Diciembre de 2019 ,"9,799 ","79,333 ",204 ,"99,568 ",82 ,(113) ,440 ,"(8,002) ","57,001 ",40 ,"238,352 "
MOVIMIENTOS INHERENTES A LAS DECISIONES DE LOS PROPIETARIOS.- ,,,,,,,,,,,
Traspaso del resultado neto a resultado de ejercicios anteriores ,,,,"57,001 ",,,,,"(57,001) ",,0 
Decreto de dividendos ,,,,"(10,919) ",,,,,,,"(10,919) "
Total ,o ,o ,o ,"46,082 ",o ,o ,o ,o ,"(57,001) ",o ,"(10,919) "
MOVIMIENTOS INHERENTES AL RECONOCIMIENTO DE LA UTILIDAD INTEGRAL.- ,,,,,,,,,,,
Resultado neto ,,,,,,,,,"19,809 ",,"19,809 "
Resultado por valuación de títulos disponibles para la venta ,,,,,495 ,,,,,,495 
Resultado por valuación de instrumentos de cobertura de flujos de efectivo ,,,,,,502 ,,,,,502 
Remediciones por beneficios definidos a los empleados ,,,,,,,,62 ,,,62 
Efecto consolidación ,,,,,,,,,,(1) ,(1) 
Total ,o ,o ,o ,o ,495 ,502 ,o ,62 ,"19,809 ",(1) ,"20,867 "
Saldo al 30 de Junio de 2020 ,"9,799 ","79,333 ",204 ,"145,650 ",577 ,389 ,440 ,"(7,940) ","19,809 ",39 ,"248,300 "


