Table
Grupo Financiero BBVA Análisis de precio volumen ,"Bancomer, cartera ",S.A. de C.V. de crédito ,,% ,
Millones de pesos ,2T 2019 ,1T 2020 ,2T 2020 ,Var Trim ,Var Anual 
Saldo medio trimestral ,"1,148,923 ","1,239,869 ","1,293,537 ",4.3% ,12.6% 
Intereses cobrados ,"38,339 ","39,088 ","32,917 ",(15.8%) ,(14.1%) 
Tasa ,13.24% ,12.50% ,10.09% ,(19.3%) ,(23.8%) 


Table
,,2T20 vs 1T20 ,,
Volumen ,,434 ,,
Tasa ,,"(6,605) ",,
Dias ,,O ,,
TOTAL ,,"(6,171) ",,


Table
Volumen ,,"2,524 ",,
Tasa ,,"(7,946) ",,
Días ,,0 ,,
TOTAL ,,"(5,422) ",,


