Table
Conciliación Criterios Contables entre CNBV y Normas ,Internacionales adoptados ,por el 6M 2019 ,consolidado 6M 2020 ,Var. Anual (%) 
Utilidad Grupo Financiero BBVA Bancomer S.A. de C.V. ,Criterios CNBV ,"27,862 ","19,809 ",(28.9) 
Incorporación de resultados de subsidiarias ,,240 ,198 ,
Reserva crediticias ,,20 ,"(1,500) ",
Obligaciones con el personal ,,337 ,399 ,
Reserva catastrófica ,,25 ,200 ,
CVA/DVA ,,(321) ,(296) ,
Arrendamiento ,,(57) ,16 ,
Otras ,,(249) ,"(3,202) ",
Utilidad Grupo Financiero BBVA México ,Normas Internacionales ,"27,857 ","15,624 ",(43.9) 


Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. Ingresos totales de la operación Junio 2020 Millones depesos ",Total ,Banca Comercial ,Banca Corporativa y Gobierno ,Operaciones de Tesorería ,Sector Seguros y Previsión ,Otros Segmentos 
"Ingresos y gastos por intereses, neto ","65,524 ","44,064 ","15,756 ",287 ,"4,632 ",785 
Margen financiero ,"65,524 ","44,064 ","15,756 ",287 ,"4,632 ",785 
Estimación preventiva para riesgos crediticios ,"(23,850) ","(19,061) ","(4,784) ",0 ,(5) ,0 
Margen financiero ajustado por riesgos crediticios ,"41,674 ","25,003 ","10,972 ",287 ,"4,627 ",785 
"Comisiones y tarifas, neto ","12,044 ","8,413 ","4,181 ",566 ,"(1,157) ",41 
Resultado por intermediación ,"7,454 ","1,197 ",490 ,"3,150 ","2,579 ",38 
Otros ingresos (egresos) de la operación ,(901) ,(192) ,65 ,(18) ,(310) ,(446) 
Total de ingresos (egresos) de la operación ,"60,271 ","34,421 ","15,708 ","3,985 ","5,739 ",418 
Gastos de administración y promoción ,"(32,920) ",,,,,
Resultado de la operación ,"27,351 ",,,,,
Participación en el resultado de subsidiarias no consolidadas y asociadas ,29 ,,,,,
Resultados antes de impuestos a la utilidad ,"27,380 ",,,,,
Impuestos a la utilidad causados ,"(6,983) ",,,,,
Impuestos a la utilidad diferidos (netos) ,(588) ,,,,,
Resultados antes de participación no controladora ,"19,809 ",,,,,
Operaciones discontinuadas ,0 ,,,,,
Participación no controladora ,0 ,,,,,
Resultado Neto ,"19,809 ",,,,,


