Table
Casa de Bolsa BBVA Bancomer S.A. de C.V. Capitalización estimada Millones de pesos ,,Junio 2019 ,,Marzo 2020 ,,Junio 2020 
Capital Básico ,,780 ,,617 ,,691 
Capital Neto ,,780 ,,617 ,,691 
,Riesgo Crédito ,Riesgo Crédito y Mdo. ,Riesgo Crédito ,Riesgo Crédito y Mdo. ,Riesgo Crédito ,Riesgo Crédito y Mdo. 
Activos en Riesgo ,151 ,295 ,88 ,196 ,68 ,196 
Capital Básico como % de los Activos en Riesgo ,516.6% ,264.4% ,701.1% ,314.8% ,1016.2% ,352.6% 
Indice de Capitalización Total Estimado ,516.6% ,264.4% ,701.1% ,314.8% ,1016.2% ,352.6% 


Table
Casa de Bolsa BBVA Bancomer S.A. de C.V. Activos en Riesgo Junio 2020 Millones de pesos ,Activos Ponderados por Riesgo ,Capital Requerido 
Activos en Riesgo Crédito ,68 ,5 
Grupo Il (ponderados al 20%) ,18 ,1 
Grupo III (ponderados al 100%) ,50 ,4 
Activos en Riesgo Mercado ,128 ,10 
Operaciones en moneda nacional con tasa nominal ,13 ,1 
Posiciones en acciones O con rendimiento indizado al precio de una acción O grupo de acciones ,115 ,9 
Total con Riesgo Crédito y Mercado ,196 ,15 


Table
Capital Básico ,691 
Capital contable ,692 
Deducción de inversiones en acciones no financieras ,(1) 
Capital Neto ,691 


