Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. ",2T 2020 ,3T 2020 ,4T 2020 ,1T 2021 ,2T 2021 ,6M 2020 ,6M 2021 
Indicadores de Infraestructura (#) ,,,,,,,
Sucursales ,"1,866 ","1,814 ","1,746 ","1,728 ","1,725 ","1,866 ","1,725 "
Cajeros automáticos ,"13,115 ","12,923 ","12,950 ","12,957 ","13,014 ","13,115 ","13,014 "
Empleados ,,,,,,,
GFBB ,"36,683 ","36,302 ","36,111 ","36,668 ","36,248 ","36,683 ","36,248 "
BBVA México ,"33,707 ","33,347 ","33,313 ","33,759 ","33,525 ","33,707 ","33,525 "
Indicadores de Rentabilidad (%) ,,,,,,,
a) Margen de interés neto ajustado (activo productivo) ,3.4 ,4.3 ,3.1 ,3.9 ,4.5 ,3.6 ,4.2 
b) Margen de interés neto (activo total) ,4.2 ,5.0 ,5.3 ,5.2 ,5.0 ,5.2 ,5.0 
c) Eficiencia operativa ,2.4 ,2.4 ,2.5 ,2.6 ,2.6 ,2.6 ,2.6 
d) Índice de eficiencia ,42.1 ,37.0 ,37.1 ,40.4 ,38.8 ,39.1 ,39.6 
e) Índice de productividad ,34.1 ,39.8 ,43.5 ,38.5 ,39.5 ,36.6 ,39.0 
f) Rendimiento sobre capital (ROE) ,18.6 ,22.3 ,13.2 ,16.1 ,21.1 ,16.3 ,18.7 
g) Rendimiento sobre activos (ROA) ,1.6 ,2.1 ,1.3 ,1.6 ,2.2 ,1.6 ,1.9 
Indicadores de Calidad de Activos (%) ,,,,,,,
h) Índice de morosidad ,1.91 ,2.03 ,3.00 ,2.61 ,2.38 ,1.91 ,2.38 
i) Índice de cobertura ,167.6 ,160.2 ,129.0 ,137.7 ,141.9 ,167.6 ,141.88 
Indicadores de Solvencia (%) ,,,,,,,
j) Índice de capital fundamental ,12.4 ,13.5 ,14.4 ,14.6 ,14.5 ,12.4 ,14.5 
k) Índice de capital básico total ,12.4 ,13.5 ,14.4 ,14.6 ,14.5 ,12.4 ,14.5 
I) Indice de capital total ,16.0 ,16.8 ,17.5 ,17.7 ,17.5 ,16.0 ,17.5 
m) Coeficiente de Apalancamiento ,9.4 ,9.8 ,10.3 ,10.3 ,9.6 ,9.4 ,9.6 
Indicadores de Liquidez (%) ,,,,,,,
n) Índice de liquidez (requerimiento CNBV) ,71.1 ,78.4 ,76.8 ,78.5 ,84.3 ,71.1 ,84.3 
o) Liquidez (Cartera/Captación) ,99.0 ,94.6 ,91.3 ,90.5 ,90.9 ,99.0 ,90.9 
p) Coeficiente de Cobertura de Liquidez (CCL) ,159.07 ,185.24 ,190.49 ,203.12 ,206.89 ,159.07 ,206.89 


