Table
"Grupo Financiero BBVA Bancomer, S.A. de ",C.V. ,,,% ,,,,% 
Estado de resultados Millones de pesos ,2T 2020 ,1T 2021 ,2T 2021 ,Var Trim ,Var Anual ,6M 2020 ,6M 2021 ,Var Anual 
Margen financiero ,"29,089 ","34,759 ","34,409 ",(1.0) ,18.3 ,"65,524 ","69,168 ",5.6 
Estimación preventiva para riesgos crediticios ,"(7,613) ","(10,450) ","(6,479) ",(38.0) ,(14.9) ,"(23,850) ","(16,929) ",(29.0) 
Margen financiero ajustado por riesgos crediticios ,"21,476 ","24,309 ","27,930 ",14.9 ,30.1 ,"41,674 ","52,239 ",25.4 
"Comisiones y tarifas, neto ","5,532 ","6,704 ","7,040 ",5.0 ,27.3 ,"12,044 ","13,744 ",14.1 
Resultado por intermediación ,"4,554 ","1,802 ","3,455 ",91.7 ,(24.1) ,"7,454 ","5,257 ",(29.5) 
Otros ingresos (egresos) de la operación ,(631) ,(169) ,"1,070 ",(733.1) ,(269.6) ,(901) ,901 ,(200.0) 
Total de ingresos (egresos) de la operación ,"30,931 ","32,646 ","39,495 ",21.0 ,27.7 ,"60,271 ","72,141 ",19.7 
Gastos de administración y promoción ,"(16,237) ","(17,409) ","(17,845) ",2.5 ,9.9 ,"(32,920) ","(35,254) ",7.1 
Resultado de la operación ,"14,694 ","15,237 ","21,650 ",42.1 ,47.3 ,"27,351 ","36,887 ",34.9 
Resultado antes de impuestos a la utilidad ,"14,695 ","15,370 ","21,675 ",41.0 ,47.5 ,"27,380 ","37,045 ",35.3 
Resultado neto ,"11,189 ","11,087 ","14,808 ",33.6 ,32.3 ,"19,809 ","25,895 ",30.7 


