Table
Rubro Millones de pesos ,A la vista ,30 días ,6 meses ,1 año ,Mayor 1 año ,Sin Vencimiento ,Total 
Disponible ,"275,005 ",- ,- ,- ,"33,986 ",- ,"308,991 "
Cartera de Crédito ,- ,"83,981 ","174,970 ","85,869 ","888,206 ",- ,"1,233,026 "
Cartera de Valores ,- ,388 ,"40,553 ","62,379 ","484,538 ",- ,"587,858 "
ACTIVOS TOTALES ,"275,005 ","84,369 ","215,523 ","148,248 ","1,406,730 ",- ,"2,129,874 "
Captación ,- ,"168,015 ","53,698 ","3,044 ",50 ,"1,136,541 ","1,361,346 "
Emisiones y Obligac. Sub. ,- ,"6,779 ","8,849 ","13,175 ","134,451 ",- ,"163,254 "
Acreedores por Reportos ,- ,"299,395 ",1166 ,25 ,9627 ,- ,"310,213 "
Neto resto de Balance ,- ,- ,- ,- ,- ,"295,061 ","295,061 "
PASIVOS TOTALES ,- ,"474,189 ","63,712 ","16,244 ","144,127 ","1,431,601 ","2,129,874 "
FUERA DE BALANCE ,- ,(595) ,"(3,555) ","(7,613) ","5,274 ",- ,"(6,489) "
BRECHAS DE LIQUIDEZ ,"275,005 ","(390,416) ","148,256 ","124,391 ","1,267,876 ","(1,431,601) ","(6,489) "
BRECHAS ACUMULADAS ,"275,005 ","(115,411) ","32,845 ","157,236 ","1,425,112 ","(6,489) ",


