Table
"Grupo Financiero BBVA Bancomer, S.A de C.V. Ingresos totales de la operación Junio 2021 Millones de pesos ",Total ,Banca Comercial ,Banca Corporativa y Gobierno ,Operaciones de Tesorería ,Sector Segurosy Previsión ,Otros Segmentos 
"Ingresos y gastos por intereses, neto ","69,168 ","49,277 ","14,740 ",982 ,"3,892 ",277 
Margen financiero ,"69,168 ","49,277 ","14,740 ",982 ,"3,892 ",277 
Estimación preventiva para riesgos crediticios ,"(16,929) ","(14,513) ","(2,403) ",0 ,(13) ,0 
Margen financiero ajustado por riesgos crediticios ,"52,239 ","34,764 ","12,337 ",982 ,"3,879 ",277 
"Comisiones y tarifas, neto ","13,744 ","10,944 ","3,613 ",591 ,"(1,359) ",(45) 
Resultado por intermediación ,"5,257 ","1,662 ",504 ,789 ,"2,100 ",202 
Otros ingresos (egresos) de la operación ,901 ,(110) ,130 ,29 ,(496) ,"1,348 "
Total de ingresos (egresos) de la operación ,"72,141 ","47,260 ","16,584 ","2,391 ","4,124 ","1,782 "
Gastos de administración y promoción ,"(35,254) ",,,,,
Resultado de la operación ,"36,887 ",,,,,
Participación en el resultado de subsidiarias no consolidadas y asoc ,158 ,,,,,
Resultados antes de impuestos a la utilidad ,"37,045 ",,,,,
Impuestos a la utilidad causados ,"(9,774) ",,,,,
Impuestos a la utilidad diferidos (netos) ,"(1,371) ",,,,,
Resultados antes de participación no controladora ,"25,900 ",,,,,
Operaciones discontinuadas ,0 ,,,,,
Participación no controladora ,-5 ,,,,,
Resultado Neto ,"25,895 ",,,,,


Table
millones de pesos ,6M 2020 ,6M 2021 ,Var. Anual (%) 
Utilidad Grupo Financiero BBVA Bancomer S.A. de C.V. Criterios CNBV ,"19,809 ","25,895 ",30.7 
Incorporación de resultados de subsidiarias ,211 ,338 ,
Reservas crediticias ,"(1,498) ",(21) ,
Obligaciones con el personal ,399 ,496 ,
Reservas de seguros ,200 ,496 ,
CVA/DVA ,(296) ,241 ,
Arrendamiento ,16 ,20 ,
Otras ,"(3,184) ",(59) ,
Utilidad Grupo Financiero BBVA México Normas Internacionales ,"15,657 ","27,406 ",75.0 


