Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. Margen Financiero Millones de pesos ",3T 2019 ,2T 2020 ,3T 2020 ,% Var Trim ,Var Anual ,9M 2019 ,9M 2020 ,% Var Anual 
Ingresos por intereses ,"53,367 ","43,045 ","47,151 ",9.5 ,(11.6) ,"155,036 ","143,975 ",(7.1) 
Gastos por intereses ,"(19,525) ","(15,153) ","(11,991) ",(20.9) ,(38.6) ,"(54,584) ","(44,690) ",(18.1) 
"Comisiones de margen, neto ",553 ,481 ,468 ,(2.7) ,(15.4) ,"1,565 ","1,472 ",(5.9) 
"Ingreso por primas y reservas, neto ","(1,009) ",716 ,"(1,583) ",(321.1) ,56.9 ,(762) ,"(1,188) ",55.9 
Margen financiero ,"33,386 ","29,089 ","34,045 ",17.0 ,2.0 ,"101,255 ","99,569 ",(1.7) 
Estimación preventiva para riesgos crediticios ,"(9,443) ","(7,613) ","(7,008) ",(7.9) ,(25.8) ,"(26,351) ","(30,858) ",17.1 
Margen financiero ajustado por riesgos crediticios ,"23,943 ","21,476 ","27,037 ",25.9 ,12.9 ,"74,904 ","68,711 ",(8.3) 


Table
Grupo Financiero BBVA ,"Bancomer, ",S.A. de ,C.V. ,% ,,,,% 
Comisiones y Tarifas Millones de pesos ,3T 2019 ,2T 2020 ,3T 2020 ,Var Trim ,Var Anual ,9M 2019 ,9M 2020 ,Var Anual 
Comisiones bancarias ,"1,780 ","1,509 ","1,716 ",13.7 ,(3.6) ,"5,237 ","4,949 ",(5.5) 
Tarjeta de Crédito y débito ,"3,810 ","2,804 ","3,483 ",24.2 ,(8.6) ,"11,414 ","9,966 ",(12.7) 
Fondos de inversión ,"1,109 ","1,275 ","1,308 ",2.6 ,17.9 ,"3,240 ","3,807 ",17.5 
Otros ,179 ,(56) ,(8) ,(85.7) ,n.a. ,205 ,(179) ,n.a. 
Comisiones y tarifas neto ,"6,878 ","5,532 ","6,499 ",17.5 ,(5.5) ,"20,096 ","18,543 ",(7.7) 


