Table
Información Relevante ,5 
Análisis y Discusión de Resultados ,11 
Resumen Ejecutivo ,11 
Principales Magnitudes ,12 
Actividad ,13 
Cartera Vigente ,13 
Calidad de Activos ,15 
Cartera Vencida ,15 
Calificación de la Cartera Crediticia ,16 
Captación ,17 
Resultados ,18 
Margen Financiero ,19 
Comisiones y Tarifas ,19 
Resultados por Intermediación ,20 
Otros Ingresos (Egresos) de la Operación ,20 
Gastos de Administración y Promoción ,21 
Impuestos ,22 
Capital y Liquidez ,23 
Índice de Capitalización estimado de BBVA México ,23 
Indicadores Financieros ,25 
Administración de Riesgos ,27 
Estructura Organizacional ,27 
Riesgo de Crédito ,32 
Información metodológica ,32 
Riesgo de Tasa de Interés ,34 
Balance Estructural ,34 
"Riesgos de Mercado, Liquidez y Operacional ",36 
Riesgo de Mercado ,36 


