Table
"Grupo Financiero BBVA Bancomer, ",S.A. de C.V. ,,,% ,,,,% 
Gastos Millones de pesos ,3T 2019 ,2T 2020 ,3T 2020 ,Var Trim ,Var Anual ,9M 2019 ,9M 2020 ,Var Anual 
Salarios y prestaciones ,"6,320 ","5,654 ","5,966 ",5.5 ,(5.6) ,"18,517 ","18,277 ",(1.3) 
Gasto de administración y operación ,"4,279 ","4,264 ","4,404 ",3.3 ,2.9 ,"12,312 ","12,899 ",4.8 
Rentas ,"1,462 ","1,560 ","1,531 ",(1.9) ,4.7 ,"4,406 ","4,646 ",5.4 
Depreciación y amortización ,"1,504 ","1,518 ","1,503 ",(1.0) ,(0.1) ,"4,493 ","4,503 ",0.2 
Impuestos ,"1,285 ","1,538 ","1,305 ",(15.1) ,1.6 ,"4,011 ","4,156 ",3.6 
Cuota por costo de captación (IPAB) ,"1,396 ","1,703 ","1,608 ",(5.6) ,15.2 ,"4,118 ","4,756 ",15.5 
Gastos de administración y promoción ,"16,246 ","16,237 ","16,317 ",0.5 ,0.4 ,"47,857 ","49,237 ",2.9 


