Table
Cuentas de riesgo propias ,"5,127,364 "
Activos y Pasivos Contingentes ,771 
Compromisos Crediticios ,"642,252 "
Bienes en fideicomiso O mandato ,"434,781 "
Mandatos ,212 
Fideicomisos ,"434,569 "
Bienes en custodia O en administración ,"212,083 "
Colaterales recibidos por la entidad ,"79,341 "
Colaterales recibidos y vendidos O entregados en gtía. por la entidad ,"67,135 "
Intereses devengados no cobrados derivados de cartera de crédito vda. ,"3,344 "
Otras cuentas de registro ,"3,687,657 "
,
Totales por cuenta propia ,"5,127,364 "


Table
Clientes cuentas corrientes ,477 
Bancos de clientes ,37 
Liquidación de operaciones de clientes ,440 
Premios de clientes ,O 
Valores de clientes ,"1,519,350 "
Valores y documentos recibidos en garantía ,O 
Valores de clientes recibidos en custodia ,"1,519,350 "
Operaciones por cuenta de clientes ,166 
Operaciones de reporto de clientes ,83 
Colaterales recibidos en garantía por cuenta de clientes ,83 
Operaciones de préstamos de valores de clientes ,O 
Operaciones de banca de inversión por cuenta de terceros (neto) ,"1,528,642 "
Totales por cuenta de terceros ,"3,048,635 "


