Table
Captación y Tasas Tasas deinteréspromedioen % ,3T 2019 ,3T 2020 ,pbs Var Anual 
Moneda nacional ,,,
Captación ,3.05 ,1.75 ,(130) 
Depósitos de exigibilidad inmediata ,1.60 ,0.90 ,(70) 
Depósitos a plazo ,6.72 ,4.25 ,(247) 
Préstamos interbancarios y de otros organismos ,8.88 ,6.54 ,(234) 
Call money ,8.00 ,4.60 ,(340) 
Préstamos de Banco de México ,8.37 ,5.52 ,(285) 
Financiamiento de los fondos de fomento ,9.23 ,6.74 ,(249) 
Financiamiento de otros organismos ,5.86 ,11.19 ,533 
Captación total moneda nacional ,3.16 ,1.82 ,(134) 
,,,
Moneda extranjera ,,,
Captación ,0.19 ,0.08 ,(11) 
Depósitos de exigibilidad inmediata ,0.17 ,0.07 ,(10) 
Depósitos a plazo ,1.09 ,0.38 ,(71) 
Préstamos interbancarios y de otros organismos ,1.27 ,0.51 ,(76) 
Call money ,0.00 ,0.00 ,O 
Préstamos de bancos comerciales ,1.50 ,1.28 ,(22) 
Financiamiento de los fondos de fomento ,1.26 ,0.00 ,(126) 
Captación total moneda extranjera ,0.20 ,0.09 ,(11) 


