Table
,9M 2019 ,9M 2020 ,Var. Anual (%) 
Utilidad Grupo Financiero BBVA Bancomer S.A. de C.V. Criterios CNBV ,"42,019 ","34,061 ",(18.9) 
Efectos inflacionarios ,19 ,15 ,
Reservas de crédito ,366 ,"(3,262) ",
Variaciones en supuestos por obligaciones con el personal ,453 ,554 ,
Reserva Catastrófica ,76 ,141 ,
CVA/DVA ,(752) ,(167) ,
Arrendamiento ,(75) ,67 ,
Otras ,398 ,"(1,863) ",
Utilidad Grupo Financiero BBVA México Normas Internacionales ,"42,504 ","29,546 ",(30.5) 


Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. ",Total ,Banca Comercial ,Banca Corporativa y Gobierno ,Operaciones de Tesorería ,Sector Seguros y Previsión ,Otros Segmentos 
Ingresos totales de la operación Septiembre 2020 Millones depesos ,,,,,,
"Ingresos y gastos por intereses, neto ","99,569 ","69,434 ","23,021 ",625 ,"6,647 ",(158) 
Margen financiero ,"99,569 ","69,434 ","23,021 ",625 ,"6,647 ",(158) 
Estimación preventiva para riesgos crediticios ,"(30,858) ","(24,646) ","(6,186) ",0 ,(26) ,0 
Margen financiero ajustado por riesgos crediticios ,"68,711 ","44,788 ","16,835 ",625 ,"6,621 ",(158) 
"Comisiones y tarifas, neto ","18,543 ","13,227 ","6,284 ",811 ,"(1,782) ",3 
Resultado por intermediación ,"10,424 ","1,855 ",663 ,"3,801 ","3,626 ",479 
Otros ingresos (egresos) de la operación ,(359) ,(448) ,228 ,(12) ,(263) ,136 
Total de ingresos (egresos) de la operación ,"97,319 ","59,422 ","24,010 ","5,225 ","8,202 ",460 
Gastos de administración y promoción ,"(49,237) ",,,,,
Resultado de la operación ,"48,082 ",,,,,
Participación en el resultado de subsidiarias no consolidadas y asociadas ,51 ,,,,,
Resultados antes de impuestos a la utilidad ,"48,133 ",,,,,
Impuestos a la utilidad causados ,"(15,103) ",,,,,
Impuestos a la utilidad diferidos (netos) ,"1,031 ",,,,,
Resultados antes de participación no controladora ,"34,061 ",,,,,
Operaciones discontinuadas ,0 ,,,,,
Participación no controladora ,0 ,,,,,
Resultado Neto ,"34,061 ",,,,,


