Table
"Grupo Financiero BBVA Bancomer, Cartera de crédito vigente Millones de pesos ",S.A. de C.V. 12M 2019 ,9M 2020 ,12M 2020 ,% Var Trim ,Var Anual 
Actividad Empresarial ,"507,622 ","534,926 ","488,878 ",(8.6) ,(3.7) 
Entidades Financieras ,"33,162 ","26,762 ","28,079 ",4.9 ,(15.3) 
Prestamos al Gobierno ,"90,866 ","100,179 ","111,651 ",11.5 ,22.9 
Paraestatales ,"52,859 ","55,774 ","49,964 ",(10.4) ,(5.5) 
Entidades Gubernamentales ,"143,725 ","155,953 ","161,615 ",3.6 ,12.4 
Créditos Comerciales ,"684,509 ","717,641 ","678,572 ",(5.4) ,(0.9) 
Créditos de Consumo ,"302,366 ","290,740 ","284,348 ",(2.2) ,(6.0) 
Créditos a la Vivienda ,"231,213 ","244,900 ","248,909 ",1.6 ,7.7 
Crédito Vigente Total ,"1,218,088 ","1,253,281 ","1,211,829 ",(3.3) ,(0.5) 


