Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. Captación y recursos totales Millones de pesos ",12M 2019 ,9M 2020 ,12M 2020 ,% Var Trim ,Var Anual 
Vista ,"922,792 ","1,047,248 ","1,083,733 ",3.5 ,17.4 
Plazo ,"248,918 ","272,245 ","238,248 ",(12.5) ,(4.3) 
Del Público en General ,"231,111 ","251,619 ","224,386 ",(10.8) ,(2.9) 
Mercado de Dinero ,"17,807 ","20,626 ","13,862 ",(32.8) ,(22.2) 
Titulos de crédito emitidos ,"85,806 ","89,006 ","84,052 ",(5.6) ,(2.0) 
Cuenta global de captación sin movimientos ,"4,507 ","4,929 ","4,956 ",0.5 ,10.0 
Captación Tradicional ,"1,262,023 ","1,413,428 ","1,410,989 ",(0.2) ,11.8 
Fondos de inversión ,"466,673 ","514,629 ","497,638 ",(3.3) ,6.6 
Captación Global ,"1,728,696 ","1,928,057 ","1,908,627 ",(1.0) ,10.4 


