Table
Grupo Financiero BBVA Análisis de precio volumen ,"Bancomer, cartera de ",S.A. de C.V. crédito ,,% ,
Millones de pesos ,4T 2019 ,3T 2020 ,4T 2020 ,Var Trim ,Var Anual 
Saldo medio trimestral ,"1,191,571 ","1,255,857 ","1,222,228 ",(2.7%) ,2.6% 
Intereses cobrados ,"39,404 ","34,976 ","34,426 ",(1.6%) ,(12.6%) 
Tasa ,13.00% ,10.95% ,11.08% ,1.2% ,(14.8%) 
,,,4T20 vs ,,
,,,4T19 ,,
Volumen ,,,(160) ,,
Tasa ,,,"(4,818) ",,
Días ,,,O ,,
TOTAL ,,,"(4,978) ",,
,,,,,
,,,4T20 vs ,,
,,,3T20 ,,
Volumen ,,,(567) ,,
Tasa ,,,17 ,,
Dias ,,,O ,,
TOTAL ,,,(550) ,,


