Table
Cartera de ,Consumo Revolvente ,bajo Modelo ,Interno ,Avanzado ,,,Millones de pesos 
Grado de Riesgo* ,Saldo Contable ,Exposición al Incumplimiento (EI) ,Severidad de la Pérdida ,PI ponderada por El ,Compromisos No Dispuestos ,El media ponderada por posición ,El Vigente 
A1 ,"16,260 ","21,289 ",74.41% ,1.34% ,"59,052 ",24% ,"21,228 "
A2 ,"4,494 ","5,581 ",76.85% ,3.98% ,"4,512 ",19% ,"5,528 "
B1 ,"2,832 ","3,447 ",79.33% ,5.45% ,"1,500 ",18% ,"3,398 "
B2 ,"2,171 ","2,664 ",77.99% ,7.68% ,"1,564 ",19% ,"2,630 "
B3 ,"1,582 ","1,892 ",79.06% ,8.42% ,801 ,16% ,"1,854 "
C1 ,"3,300 ","3,992 ",80.89% ,11.84% ,"1,012 ",17% ,"3,883 "
C2 ,"4,708 ","5,597 ",84.53% ,23.81% ,729 ,16% ,"4,976 "
D ,"1,519 ","1,626 ",83.74% ,65.64% ,472 ,7% ,217 
E ,"1,485 ","1,485 ",88.63% ,100.00% ,112 ,0% ,75 
Cartera Total ,"38,350 ","47,573 ",80.60% ,11.39% ,"69,755 ",19% ,"43,789 "


