Table
Cartera de ,Auto Persona ,Física bajo Modelo ,Interno Avanzado ,,Millones de pesos 
Grado de Riesgo* ,Saldo Contable ,Exposición al Incumplimiento (EI) ,Severidad de la Pérdida ,PI ponderada por El ,El Vigente 
A1 ,"22,688 ","22,688 ",56.75% ,0.96% ,"22,688 "
A2 ,"2,740 ","2,740 ",61.60% ,3.53% ,"2,740 "
B1 ,393 ,393 ,68.98% ,5.36% ,393 
B2 ,0 ,0 ,0.00% ,0.00% ,0 
B3 ,0 ,0 ,0.00% ,0.00% ,0 
C1 ,747 ,747 ,52.04% ,13.91% ,747 
C2 ,"1,186 ","1,186 ",68.98% ,13.91% ,"1,186 "
D ,225 ,225 ,52.04% ,53.43% ,11 
E ,582 ,582 ,68.15% ,81.12% ,8 
Cartera Total ,"28,561 ","28,561 ",47.62% ,4.19% ,"27,772 "


Table
Cartera ,Pérdida Esperada Modelos Internos* ,Pérdida Observada* ,Diferencia Ps (Pérdida Observada - Pérdida Esperada) ,% Cobertura PNC 
Tarjeta de Crédito ,"4,584 ","4,571 ",(13) ,101% 
Cartera Total ,"4,584 ","4,571 ",(13) ,101% 


