Table
Cartera Comercial de Grupo Financiero Banorte ,Empresas bajo Modelo ,Interno Básico ,Millones de pesos 
Nivel de Riesgo ,Saldo Contable ,Exposición al Incumplimiento (EI)* ,PI ponderada por El 
1 ,"61,500 ","61,513 ",0.23% 
2 ,"55,663 ","55,824 ",0.51% 
3 ,"49,722 ","49,763 ",0.88% 
4 ,"13,421 ","13,604 ",1.19% 
5 ,"3,500 ","3,500 ",2.04% 
6 ,"1,720 ","1,720 ",5.59% 
7 ,"1,485 ","1,485 ",12.07% 
8 ,"1,150 ","1,150 ",15.78% 
9 ,222 ,222 ,65.09% 
Incumplimiento ,906 ,906 ,100.00% 
Total ,"189,289 ","189,686 ",1.37% 


Table
Cartera ,Pérdida Esperada Modelos Internos* ,Pérdida Observada ,Diferencia Ps (Pérdida Observada - Pérdida Esperada) ,% Cobertura PNC 
Auto Persona Física ,682 ,561 ,(122) ,122% 
Cartera Total ,682 ,561 ,(122) ,122% 


