Table
Capital Contable a diciembre 2020 (Millones de pesos) ,"9,150 "
I. Financiamientos cuyo monto individual representa más del 10% del capital contable: ,
Operaciones crediticias ,
Número de financiamientos ,4 
Monto de los financiamientos en su conjunto ,"5,743 "
% en relación al capital contable ,63% 
Operaciones en mercado de dinero ,
Número de financiamientos ,0 
Monto de los financiamientos en su conjunto ,0 
% en relación al capital contable ,0% 
Operaciones overnight ,
Número de financiamientos ,0 
Monto de los financiamientos en su conjunto ,0 
% en relación al capital contable ,0% 
II. Monto máximo de financiamiento con los 3 mayores deudores y grupos de riesgo común ,"7,228 "


