Table
Fuente de Fondeo (Millones de pesos) ,4T20 ,1T21 ,Var vs. 4T20 
Depósitos a la Vista ,,,
Moneda Nacional (1) ,"480,761 ","494,891 ",2.9% 
Moneda Extranjera (1) ,"53,345 ","54,610 ",2.4% 
Depósitos a la Vista ,"534,106 ","549,501 ",2.9% 
Depósitos a Plazo - Ventanilla ,,,
Moneda Nacional (2) ,"204,658 ","200,679 ",(1.9%) 
Moneda Extranjera ,"12,613 ","13,244 ",5.0% 
Captación Ventanilla ,"751,378 ","763,424 ",1.6% 
Mesa de Dinero ,,,
Moneda Nacional (3) ,"49,308 ","41,090 ",(16.7%) 
Moneda Extranjera (3) ,"40,318 ","28,846 ",(28.5%) 
Captación Integral Sector Banca ,"841,003 ","833,360 ",(0.9%) 


