Table
,Banco y ,Sofomes 
Componentes del CCL (Millones de pesos) ,Importe Sin Ponderar (Promedio) ,Importe Ponderado (Promedio) 
ACTIVOS LÍQUIDOS COMPUTABLES ,,
1 Total de Activos Líquidos Computables ,No aplica ,"149,163 "
SALIDAS DE EFECTIVO ,,
2 Financiamiento minorista no garantizado ,"445,607 ","29,780 "
3 Financiamiento estable ,"295,624 ","14,781 "
4 Financiamiento menos estable ,"149,983 ","14,998 "
5 Financiamiento mayorista no garantizado ,"291,279 ","81,214 "
6 Depósitos operacionales ,"248,759 ","57,093 "
7 Depósitos no operacionales ,"39,411 ","21,012 "
8 Deuda no garantizada ,"3,110 ","3,110 "
9 Financiamiento mayorista garantizado ,"315,281 ","12,749 "
10 Requerimientos adicionales: ,"292,290 ","22,735 "
Salidas relacionadas a instrumentos financieros derivados y otros 11 requerimientos de garantías ,"23,522 ","7,444 "
12 Salidas relacionadas a pérdidas del financiamiento de instrumentos de deuda ,0 ,0 
13 Líneas de crédito y liquidez ,"268,768 ","15,291 "
14 Otras obligaciones de financiamiento contractuales ,"2,522 ",121 
15 Otras obligaciones de financiamiento contingentes ,0 ,0 
16 TOTAL DE SALIDAS DE EFECTIVO ,No aplica ,"146,598 "
ENTRADAS DE EFECTIVO ,,
17 Entradas de efectivo por operaciones garantizadas ,"228,918 ","15,315 "
18 Entradas de efectivo por operaciones no garantizadas ,"76,631 ","55,439 "
19 Otras entradas de efectivo ,"3,575 ","3,575 "
20 TOTAL DE ENTRADAS DE EFECTIVO ,"309,124 ","74,328 "
,,Importe Ajustado 
21 TOTAL DE ACTIVOS LIQUIDOS COMPUTABLES ,No aplica ,"149,163 "
22 TOTAL NETO DE SALIDAS DE EFECTIVO ,No aplica ,"72,270 "
23 COEFICIENTE DE COBERTURA DE LIQUIDEZ ,No aplica ,207.62% 


