Table
Ingresos por Intermediación (Millones de Pesos) ,1T20 ,4T20 ,1T21 ,Var. 4T20 ,Vs. 1T20 
Divisas y Metales ,"1,235 ","(1,483) ",575 ,139% ,(53%) 
Derivados ,"(1,238) ",309 ,111 ,(64%) ,109% 
Títulos ,(166) ,92 ,(579) ,(730%) ,(248%) 
Valuación ,(169) ,"(1,083) ",107 ,110% ,163% 
Divisas y Metales ,(862) ,"1,930 ",764 ,(60%) ,189% 
Derivados ,"1,742 ",(169) ,5 ,103% ,(100%) 
Títulos ,455 ,180 ,87 ,(51%) ,(81%) 
Compra-venta ,"1,335 ","1,941 ",857 ,(56%) ,(36%) 
Ingresos por Intermediación ,"1,166 ",858 ,964 ,12% ,(17%) 


Table
Comisiones por Servicios (Millones de Pesos) ,1T20 ,4T20 ,1T21 ,Var. 4T20 ,Vs. 1T20 
Transferencia de Fondos ,400 ,513 ,473 ,(8%) ,18% 
Manejo de Cuenta ,578 ,529 ,494 ,(7%) ,(15%) 
Servicios de Banca Electrónica ,"2,336 ","3,033 ","2,916 ",(4%) ,25% 
Comisiones por Servicios Bancarios Básicos ,"3,315 ","4,075 ","3,883 ",(5%) ,17% 
Por Créditos Comerciales y Vivienda * ,495 ,366 ,296 ,(19%) ,(40%) 
Por Créditos de Consumo ,"1,242 ","1,292 ","1,164 ",(10%) ,(6%) 
Fiduciario * ,119 ,153 ,106 ,(31%) ,(11%) 
Ingresos por Portafolios Inmobiliarios ,5 ,19 ,10 ,(51%) ,77% 
Fondos de Inversión ,461 ,504 ,484 ,(4%) ,5% 
Asesoría e Intermediación Financiera ,147 ,142 ,188 ,32% ,28% 
Otras Comisiones Cobradas (1) ,331 ,223 ,250 ,12% ,(24%) 
Comisiones por Servicios Cobrados ,"6,115 ","6,775 ","6,380 ",(6%) ,4% 
Cuotas de Intercambio ,"1,226 ","1,684 ","1,625 ",(4%) ,33% 
Comisiones de Seguros ,473 ,227 ,339 ,49% ,(28%) 
Otras Comisiones Pagadas ,961 ,"1,264 ","1,202 ",(5%) ,25% 
Comisiones por Servicios Pagados ,"2,660 ","3,176 ","3,166 ",(0%) ,19% 
Comisiones por Servicios Netas ,"3,455 ","3,599 ","3,214 ",(11%) ,(7%) 


