Table
Cartera de Crédito Vigente (Millones de Pesos) ,1T20 ,4T20 ,1T21 ,Var. 4T20 ,Vs. 1T20 
Hipotecario ,"173,226 ","187,736 ","191,220 ",2% ,10% 
Automotriz ,"27,188 ","28,165 ","28,247 ",0% ,4% 
Tarjeta de Crédito ,"38,707 ","36,651 ","35,589 ",(3%) ,(8%) 
Crédito de Nómina ,"51,643 ","51,668 ","52,256 ",1% ,1% 
Consumo ,"290,763 ","304,220 ","307,312 ",1% ,6% 
Comercial ,"182,277 ","192,927 ","192,834 ",(0%) ,6% 
Corporativo ,"145,229 ","143,429 ","140,140 ",(2%) ,(4%) 
Gobierno ,"161,549 ","161,563 ","160,042 ",(1%) ,(1%) 
Total ,"779,818 ","802,138 ","800,328 ",(0%) ,3% 


Table
Créditos a PYMES (Millones de Pesos) ,1T20 ,4T20 ,1T21 ,Var. 4T20 ,Vs. 1T20 
Cartera Vigente ,"32,963 ","37,741 ","36,972 ",(2%) ,12% 
% de Cartera Vigente Comercial ,18.1% ,19.6% ,19.2% ,(39 pb) ,109 pb 
% de Cartera Vigente Total ,4.2% ,4.7% ,4.6% ,(9 pb) ,39 pb 
Índice de Cartera Vencida ,7.0% ,2.02% ,3.40% ,138 pb ,(357 pb) 


Table
Créditos a Infraestructura (Millones de Pesos) ,1T20 ,4T20 ,1T21 ,Var. 4T20 ,Vs. 1T20 
Cartera Vigente ,"48,306 ","47,999 ","48,927 ",2% ,1% 
% de Cartera Vigente Total ,5.7% ,6.0% ,6.1% ,13 pb ,42 pb 
Índice de Cartera Vencida ,0.1% ,1.1% ,1.2% ,10 pb ,104 pb 


