Table
Estado de Resultados y Balance General - Pensiones Banorte (Millones de Pesos) ,1T20 ,4T20 ,1T21 ,Var. 4T20 ,Vs. 1T20 
Ingresos por Intereses (Neto) ,"3,469 ","2,888 ","5,146 ",78% ,48% 
Ingresos por Primas (Neto) ,"3,489 ","4,615 ","4,367 ",(5%) ,25% 
Incremento neto de reservas técnicas ,"4,642 ","4,617 ","6,480 ",40% ,40% 
Reclamaciones y Otras obligaciones (neto) ,"1,826 ","2,162 ","2,213 ",2% ,21% 
Resultado Técnico ,"(2,978) ","(2,164) ","(4,325) ",(100%) ,(45%) 
Ingresos de Intereses Netos ,491 ,725 ,821 ,13% ,67% 
Comisiones Netas ,- ,- ,- ,N.A. ,N.A. 
Intermediación de Valores ,11 ,86 ,5 ,(94%) ,(53%) 
Otros Ingresos (Egresos) de la Operación ,(1) ,14 ,6 ,(57%) ,755% 
Ingreso Total de Operación ,501 ,824 ,832 ,1% ,66% 
Gasto No Financiero ,97 ,109 ,125 ,15% ,29% 
Resultado Neto de Operación ,405 ,716 ,707 ,(1%) ,75% 
Impuestos ,122 ,215 ,213 ,(1%) ,75% 
Participación en el Resultado de Subsidiarias ,1 ,2 ,1 ,(33%) ,12% 
Participación no controladora ,- ,- ,- ,N.A. ,N.A. 
Utilidad Neta ,284 ,503 ,496 ,(1%) ,75% 
Capital Contable ,"5,150 ","6,448 ","6,933 ",8% ,35% 
Activo Total ,"141,415 ","167,078 ","174,042 ",4% ,23% 
Reservas Técnicas ,"134,008 ","157,786 ","164,297 ",4% ,23% 
Primas Emitidas ,"3,489 ","4,615 ","4,367 ",(5%) ,25% 
Índice de cobertura de reservas técnicas ,1.0 ,1.0 ,1.0 ,0.0 pp ,0.0 pp 
Índice de cobertura del requerimiento de capital de solvencia ,26.3 ,7.1 ,7.4 ,0.3 pp ,(19.0 pp) 
ROE ,22.7% ,32.4% ,29.6% ,(2.8 pp) ,7.0 pp 


