Table
GFNorte - Balance General (Millones de Pesos) ,1T20 ,2T20 ,3T20 ,4T20 ,1T21 
PASIVOS ,,,,,
Depósitos exigibilidad inmediata ,"433,849 ","469,861 ","496,641 ","520,283 ","541,002 "
Depósitos a plazo-Del Público en General ,"274,681 ","265,100 ","251,418 ","252,271 ","246,883 "
Depósitos a plazo-Mercado de Dinero ,"26,894 ","28,433 ","26,741 ","14,248 ","8,069 "
Cuenta global de captación sin movimientos ,"2,213 ","2,368 ","2,489 ","2,585 ","2,639 "
Títulos de crédito emitidos ,"35,355 ","35,386 ","35,815 ","32,325 ","31,937 "
Captación de Recursos ,"772,993 ","801,148 ","813,104 ","821,712 ","830,531 "
De exigibilidad inmediata ,"5,000 ",0 ,0 ,0 ,0 
De corto plazo ,"20,824 ","47,365 ","22,185 ","22,499 ","20,054 "
De largo plazo ,"11,675 ","14,452 ","13,223 ","13,522 ","13,962 "
Préstamos de Bancos y otros ,"37,499 ","61,817 ","35,408 ","36,021 ","34,016 "
Reservas Técnicas ,"162,887 ","179,930 ","183,866 ","187,846 ","200,479 "
Valores asignados por liquidar ,- ,- ,- ,- ,- 
Acreedores por reporto ,"354,238 ","353,211 ","352,628 ","353,094 ","371,414 "
Préstamos de Valores ,- ,- ,0 ,0 ,0 
Reportos (saldo acreedor) ,16 ,8 ,2 ,13 ,19 
Préstamos de valores ,- ,- ,0 ,8 ,13 
Derivados ,- ,- ,- ,- ,- 
Otros colaterales vendidos ,- ,- ,- ,- ,- 
Total de Colaterales vendidos o dados en ,16 ,8 ,2 ,21 ,31 
Con fines de negociación ,"50,574 ","58,754 ","50,121 ","44,097 ","24,508 "
Con fines de cobertura ,"10,487 ","7,682 ","7,189 ","4,990 ","5,566 "
Operaciones con valores y derivados ,,,,,
Derivados ,"61,062 ","66,436 ","57,310 ","49,087 ","30,073 "
Total de Op. con Valores y Derivados ,"415,316 ","419,655 ","409,939 ","402,202 ","401,518 "
Ajustes de valuación por cobertura de pasivos ,- ,- ,- ,- ,- 
Obligaciones en operaciones de bursatilización ,- ,- ,- ,- ,- 
Cuentas por pagar a Reaseguradores y Reafianzadores (Neto) ,"2,311 ","3,159 ","2,918 ","2,269 ","3,145 "
Impuestos a la Utilidad por pagar ,"3,538 ","2,718 ","3,521 ","4,365 ","1,895 "
Participación de los trabajadores en la utili. ,639 ,280 ,407 ,538 ,187 
Aport. para futuros aumentos de capital ,,,,,
pendientes de formalizar por su órgano de ,- ,- ,- ,- ,- 
gobierno ,,,,,
Acreedores por liquidación de operaciones ,"31,188 ","4,621 ","11,182 ","4,892 ","4,020 "
Acreedores por cuentas de margen ,- ,- ,- ,- ,- 
Acreedores Diver. y otras ctas. p/pagar ,"46,614 ","44,126 ","50,021 ","42,775 ","43,030 "
Otras cuentas por pagar ,"81,979 ","51,745 ","65,131 ","52,570 ","49,132 "
Obligaciones subordinadas en circulación ,"58,423 ","57,321 ","66,241 ","57,152 ","58,759 "
Impuestos diferidos (Neto) ,(0) ,0 ,897 ,"1,618 ","1,139 "
Créditos diferidos y Cobros Anticipados ,382 ,462 ,430 ,"1,411 ","1,346 "
TOTAL PASIVOS ,"1,531,790 ","1,575,237 ","1,577,935 ","1,562,801 ","1,580,066 "
CAPITAL ,,,,,
Capital Social ,"14,944 ","14,901 ","14,901 ","14,919 ","14,936 "
Aport. para futuros aumentos de capital pendientes ,- ,- ,- ,- ,- 
de formalizar por su órgano de gobierno ,,,,,
Prima en venta de acciones ,"48,091 ","48,316 ","48,509 ","48,269 ","47,863 "
Obligaciones subordinadas en circulación ,- ,- ,- ,- ,- 
Capital contribuido ,"63,034 ","63,217 ","63,410 ","63,188 ","62,799 "
Reservas de capital ,"5,418 ","8,746 ","8,753 ","9,215 ","9,719 "
Resultado de ejercicios anteriores ,"125,934 ","120,910 ","119,734 ","118,773 ","148,359 "
Res. por valuación de títulos disponibles para la venta ,"(2,851) ",574 ,"1,771 ","3,801 ","2,199 "
Res. por valuación de instrumentos de cobertura de flujos de efectivo ,"(3,895) ","(1,398) ","(1,677) ",(887) ,"(2,214) "
Resultado en la valuación de la reserva de riesgo en curso por variaciones en las tasas ,1 ,(184) ,(190) ,(231) ,(110) 
Efecto acumulado por conversión ,348 ,326 ,269 ,134 ,166 
Remediciones por beneficios definidos a los empleados ,"(1,894) ","(1,927) ","(1,960) ","(2,259) ","(2,229) "
Exceso (insuf.) en la actualiz. del Cap. Cont. ,- ,- ,- ,- ,- 
Ajustes por obligaciones laborales al retiro Efecto acumulado de impuesto diferido ,- ,- ,- ,- ,- 
Resultado neto ,"9,118 ","15,636 ","24,542 ","30,508 ","8,544 "
Capital Ganado ,"132,179 ","142,684 ","151,242 ","159,053 ","164,434 "
Participación no controladora ,"2,277 ","2,443 ","2,719 ","2,862 ","2,908 "
Total Capital Contable ,"197,490 ","208,344 ","217,371 ","225,103 ","230,142 "
TOTAL PASIVOS Y CAPITAL ,"1,729,280 ","1,783,581 ","1,795,306 ","1,787,904 ","1,810,207 "


