Table
Banco - Balance General (Millones de Pesos) ,1T20 ,2T20 ,3T20 ,4T20 ,1T21 
ACTIVOS ,,,,,
Disponibilidades ,"88,668 ","105,537 ","99,615 ","108,743 ","115,954 "
Cuentas de Margen ,"9,701 ","18,353 ","16,312 ","18,099 ","11,012 "
Títulos para negociar ,"79,968 ","95,379 ","36,918 ","41,432 ","39,609 "
Títulos disponibles para la venta ,"157,021 ","184,050 ","163,887 ","153,063 ","142,487 "
Títulos conservados a vencimiento ,"19,711 ","19,497 ","33,379 ","33,277 ","40,044 "
Inversiones en Valores ,"256,700 ","298,926 ","234,184 ","227,772 ","222,139 "
Valores no asignados por liquidar ,- ,- ,- ,- ,- 
Deudores por reporto (saldo deudor) ,"1,930 ","1,928 ","2,297 ","3,036 ","2,848 "
Préstamo de Valores ,- ,- ,- ,- ,- 
Con fines de negociación ,"48,940 ","61,705 ","53,819 ","48,233 ","28,458 "
Con fines de cobertura ,"1,292 ","2,384 ","1,885 ","2,043 ",609 
Operaciones con valores y derivadas ,- ,- ,- ,- ,- 
Operaciones con Derivados ,"50,232 ","64,089 ","55,704 ","50,277 ","29,068 "
Operaciones con Valores y Derivadas ,"52,162 ","66,017 ","58,000 ","53,313 ","31,915 "
Ajustes de valuación por cobertura de activos ,65 ,62 ,58 ,54 ,51 
Créditos Comerciales ,"288,409 ","300,483 ","299,343 ","297,305 ","295,257 "
Créditos a Entidades Financieras ,"24,011 ","23,733 ","24,763 ","24,898 ","22,723 "
Créditos al Consumo ,"116,200 ","115,593 ","118,314 ","116,477 ","116,085 "
Créditos a la Vivienda ,"173,226 ","177,282 ","182,685 ","187,736 ","191,220 "
Media y Residencial ,"170,143 ","174,331 ","179,791 ","184,980 ","188,529 "
De interés social ,8 ,5 ,5 ,4 ,4 
Créditos adquiridos al INFONAVIT o FOVISSSTE ,"3,075 ","2,946 ","2,889 ","2,752 ","2,687 "
Remodelación o mejoramiento con garantía ,- ,- ,- ,- ,- 
otorgada por la banca de desarrollo o fideicomisos ,,,,,
Créditos a Entidades Gubernamentales ,"161,246 ","161,457 ","161,247 ","156,115 ","156,941 "
Créditos otorgados en calidad de Agente del Gobierno Federal ,- ,- ,- ,- ,- 
Cartera de Crédito Vigente ,"763,091 ","778,548 ","786,350 ","782,532 ","782,226 "
Créditos Comerciales ,"6,700 ","2,240 ","1,864 ","2,183 ","3,303 "
Créditos a Entidades Financieras ,4 ,- ,- ,- ,- 
Créditos al Consumo ,"4,018 ","4,229 ","2,349 ","4,705 ","4,694 "
Créditos a la Vivienda ,"2,070 ","2,305 ","1,811 ","1,658 ","2,071 "
Media y Residencial ,"1,834 ","2,025 ","1,612 ","1,429 ","1,819 "
De interés social ,0 ,1 ,1 ,1 ,0 
Créditos adquiridos al INFONAVIT o FOVISSSTE ,235 ,279 ,198 ,228 ,252 
Remodelación o mejoramiento con garantía otorgada por la banca de desarrollo o fideicomisos ,- ,- ,- ,- ,- 
Créditos a Entidades Gubernamentales ,35 ,111 ,284 ,33 ,188 
Cartera de Crédito Vencida ,"12,827 ","8,885 ","6,307 ","8,580 ","10,257 "
Cartera de Crédito Total ,"775,918 ","787,433 ","792,658 ","791,112 ","792,483 "
Prov. Prev. Riesgos Crediticios ,"17,932 ","18,075 ","17,169 ","19,464 ","19,145 "
Cartera de Crédito Neto ,"757,986 ","769,358 ","775,489 ","771,648 ","773,339 "
Derechos de cobro adquiridos ,"1,261 ","1,438 ","1,341 ","1,617 ","1,529 "
Total de cartera de crédito (neto) ,"759,247 ","770,796 ","776,830 ","773,264 ","774,867 "
Beneficios por recibir en operaciones de Bursatilización ,161 ,156 ,151 ,110 ,2 
"Otras Cuentas por cobrar, neto ","83,264 ","48,306 ","53,442 ","40,495 ","35,643 "
Inventario de Mercancías ,- ,- ,- ,- ,- 
Bienes Adjudicados (neto) ,818 ,800 ,722 ,"1,384 ","1,406 "
"Propiedades, Mobiliario y equipo (Neto) ","15,167 ","26,482 ","27,277 ","28,289 ","28,638 "
Inversiones permanentes ,468 ,491 ,564 ,519 ,552 
Activos de larga duración disponibles para la venta ,- ,- ,- ,- ,- 
"Impuestos diferidos, neto ","4,351 ","1,126 ",214 ,- ,422 
"Cargos diferidos, pagos anticipados e intangibles ","22,727 ","11,470 ","10,111 ","9,929 ","11,211 "
Otros activos a corto y largo plazo ,146 ,106 ,112 ,213 ,208 
,"127,103 ","88,937 ","92,593 ","80,939 ","78,082 "
TOTAL ACTIVOS ,"1,293,647 ","1,348,628 ","1,277,593 ","1,262,185 ","1,234,021 "


