Table
Títulos para Negociar ,Valor en Libros ,Intereses ,Valuación ,Valor de Mercado 
Valores gubernamentales ,"229,783 ","1,278 ",(412) ,"230,649 "
Sin restricción ,"24,125 ",269 ,15 ,"24,409 "
BONDES D ,- ,- ,- ,- 
BONDES M ,(217) ,2 ,(10) ,(225) 
BPA ,- ,- ,- ,- 
BREMS ,- ,- ,- ,- 
Certificados Bursátiles Gubernamental ,11 ,o ,2 ,13 
Certificados Bursátiles Municipales ,o ,o ,o ,o 
Certificados Bursátiles Udizados ,- ,- ,- ,- 
CETES ,"20,765 ",234 ,(26) ,"20,972 "
CETES Especial ,- ,- ,- ,- 
Eurobonos gubernamentales ,- ,- ,- ,- 
Udibonos ,"3,565 ",33 ,49 ,"3,648 "
Treasury Notes ,- ,- ,- ,- 
Restringidos ,"205,658 ","1,009 ",(427) ,"206,241 "
BONDES D ,"42,897 ",51 ,(5) ,"42,943 "
BONDES M ,"12,517 ",284 ,(300) ,"12,501 "
BPA ,"142,531 ",659 ,(37) ,"143,153 "
BREMS ,- ,- ,- ,- 
Certificados Bursátiles Gubernamental ,- ,- ,- ,- 
Certificados Bursátiles Municipales ,- ,- ,- ,- 
Certificados Bursátiles Udizados ,o ,o ,(0) ,o 
CETES ,"4,415 ",- ,(19) ,"4,396 "
CETES Especial ,- ,- ,- ,- 
Eurobonos gubernamentales ,- ,- ,- ,- 
Udibonos ,"3,299 ",16 ,(66) ,"3,248 "
Valores bancarios ,"18,329 ",14 ,11 ,"18,353 "
Sin restricción ,"2,865 ",o ,o ,"2,866 "
Aceptaciones Bancarias ,4 ,- ,- ,4 
Bonos Bancarios ,- ,- ,- ,- 
Certificados Bursátiles Banca de Desarrollo ,3 ,o ,o ,3 
Certificados Bursátiles Bancarios ,40 ,o ,o ,41 
Certificados de Depósitos ,579 ,o ,(0) ,579 
Notas Estructuradas ,- ,- ,- ,- 
Otros títulos bancarios ,237 ,o ,o ,237 
Pagarés ,"2,002 ",o ,(0) ,"2,002 "
Con restricción ,"15,463 ",14 ,11 ,"15,488 "
Aceptaciones Bancarias ,- ,- ,- ,- 
Bonos Bancarios ,- ,- ,- ,- 
Certificados Bursátiles Banca de Desarrollo ,"1,212 ",1 ,1 ,"1,213 "
Certificados Bursátiles Bancarios ,"4,737 ",5 ,3 ,"4,745 "
Certificados de Depósitos ,"8,675 ",8 ,o ,"8,683 "
Notas Estructuradas ,- ,- ,- ,- 
Otros títulos bancarios ,839 ,o ,6 ,846 
Pagarés ,- ,- ,- ,- 
Valores privados ,"9,996 ",15 ,"1,017 ","11,027 "
Sin restricción ,"9,852 ",15 ,"1,017 ","10,884 "
Acciones ,449 ,- ,479 ,927 
Acciones Sociedades de Inversión ,"7,117 ",- ,383 ,"7,500 "
ADRs ,- ,- ,- ,- 
Certificados Bursátiles BORHIS ,- ,- ,- ,- 
Certificados Bursátiles Corporativos ,"1,224 ",3 ,38 ,"1,265 "
Certificados Bursátiles Fiduciarios ,- ,- ,- ,- 
Eurobonos Privados ,"1,062 ",12 ,117 ,"1,192 "
FIBRAS ,- ,- ,- ,- 
Obligaciones Subordinadas ,- ,- ,- ,- 
Otros títulos bancarios ,- ,- ,- ,- 
Papel Comercial ,- ,- ,- ,- 
Restringidos ,144 ,- ,(0) ,143 
Acciones ,144 ,- ,(0) ,143 
Certificados Bursátiles BORHIS ,- ,- ,- ,- 
Certificados Bursátiles Corporativos ,- ,- ,- ,- 
Certificados Bursátiles Fiduciarios ,- ,- ,- ,- 
Eurobonos Privados ,- ,- ,- ,- 
Otros títulos bancarios ,- ,- ,- ,- 
Ajuste valor razonable Adq Ixe Banco ,- ,- ,- ,- 
Total ,"258,108 ","1,307 ",616 ,"260,030 "


