Table
,VM deudores por reporto ,VM Colaterales recibidos vendidos en reporto ,Diferencia deudora ,Diferencia acreedora ,VM acreedores por reporto 
Valores gubernamentales ,"252,278 ","249,146 ","3,148 ",16 ,"340,959 "
Valores bancarios ,"12,999 ","12,999 ",- ,0 ,"24,322 "
Valores privados ,"3,536 ","3,539 ",(0) ,3 ,"6,132 "
Total ,"268,813 ","265,684 ","3,148 ",19 ,"371,414 "


Table
Instrumento ,Valor Razonable 
Futuros ,
Futuros TIIE 28 ,- 
Forward ,
Forward de divisa ,369 
Opciones ,
Opciones de tasas ,188 
Opciones de divisa ,575 
Títulos Opcionales ,- 
Swaps ,
Swaps de tasas ,"21,394 "
Swaps de divisas ,"5,765 "
Swaps de crédito ,168 
Total negociación ,"28,458 "
Opciones ,
Opciones de tasas ,- 
Opciones de divisa ,- 
Swaps ,
Swaps de tasas ,86 
Swaps de divisas ,523 
Swaps de crédito ,- 
Total cobertura ,609 
Total posición ,"29,068 "


