Table
Resultado por intermediación ,Consolidado 
Resultado por valuación a valor razonable ,(468) 
Títulos para negociar ,(579) 
Derivados con fines de negociación ,115 
Derivados con fines de cobertura ,(4) 
Pérdida por deterioro o incremento por revaluación ,0 
Resultado por valuación de divisas ,579 
Resultado por valuación de metales preciosos o amonedados ,(4) 
Resultado por compraventa de valores e instrumentos financieros derivados ,93 
Títulos para negociar ,71 
Títulos disponibles para la venta ,16 
Derivados con fines de cobertura ,5 
Resultado por compraventa de divisas ,762 
Resultado por compraventa de metales precios amonedados ,2 
Total ,964 


Table
,,1T20 ,,,4T20 ,,,1T21 ,
,Linea ,Dispuesto ,% dispuesto ,Linea ,Dispuesto ,% dispuesto ,Linea ,Dispuesto ,% dispuesto 
Contrapartes Bancarias (Call Money) ,"177,366 ","7,950 ",4.5% ,"174,237 ",- ,0.0% ,"219,907 ","2,700 ",1.2% 
Banxico Reportos p/Liq. al Sistema de Pagos (RSP)* ,"65,003 ","7,789 ",12.0% ,"75,832 ","7,784 ",10.3% ,"77,350 ","7,789 ",10.1% 
Banxico Subasta Financiamiento (MXN + USD)* ,"42,645 ","8,951 ",21.0% ,"52,266 ",- ,0.0% ,"54,458 ",- ,0.0% 
Banxico c/Gtía Tit. Gub. y Banc. (Facilidades Ordinarias)* ,"42,645 ",- ,0.0% ,"52,266 ",- ,0.0% ,"54,458 ",- ,0.0% 
Banxico c/Gtía Créditos GEM (Facilidades Extraordinarias) ,"89,355 ",- ,0.0% ,"85,766 ",- ,0.0% ,"87,127 ",- ,0.0% 
TOTAL ,"417,013 ","24,690 ",5.9% ,"440,366 ","7,784 ",1.8% ,"493,300 ","10,489 ",2.1% 


Table
Depósitos Exigibilidad Inmediata ,
Moneda Nacional y UDIs ,1.16% 
Moneda Extranjera ,0.03% 
Depósitos a Largo Plazo - del Público en General ,
Moneda Nacional y UDIs ,3.13% 
Moneda Extranjera ,0.25% 
Depósitos a Largo Plazo - Mesa de Dinero Moneda Nacional y UDIs ,4.21% 
PRÉSTAMOS DE BANCOS YOTROS (BANORTE) ,
De Exigibilidad Inmediata ,
Moneda Nacional y UDIs ,0.00% 
Banca de Fomento y Desarrollo ,
Moneda Nacional y UDIs ,6.14% 
Moneda Extranjera ,1.50% 


