Table
Ingresos de Intereses Netos (IIN) (Millones de Pesos) ,1T20 ,4T20 ,1T21 ,Var. 4T20 ,Vs. 1T20 
Ingresos por Intereses ,"32,533 ","27,068 ","26,817 ",(1%) ,(18%) 
Gastos por Intereses ,"14,237 ","9,324 ","9,483 ",2% ,(33%) 
Comisiones Cobradas ,360 ,380 ,352 ,(7%) ,(2%) 
Comisiones Pagadas ,291 ,314 ,314 ,0% ,8% 
IIN sin Seguros y Pensiones ,"18,365 ","17,810 ","17,372 ",(2%) ,(5%) 
Ingresos por Primas (Neto) ,"12,155 ","9,192 ","15,340 ",67% ,26% 
Reservas Técnicas ,"7,946 ","4,368 ","11,016 ",152% ,39% 
"Siniestros, Reclamaciones y Otras Obligaciones ","4,592 ","6,281 ","7,097 ",13% ,55% 
Resultado Técnico ,(383) ,"(1,458) ","(2,773) ",(90%) ,(623%) 
Ingresos (Egresos) por Intereses Netos ,"3,986 ","3,228 ","5,403 ",67% ,36% 
IIN de Seguros y Pensiones ,"3,603 ","1,770 ","2,630 ",49% ,(27%) 
IIN GFNORTE ,"21,968 ","19,580 ","20,002 ",2% ,(9%) 
Provisiones para Crédito ,"4,344 ","5,993 ","3,215 ",(46%) ,(26%) 
IIN Ajustado por Riesgos Crediticios ,"17,623 ","13,587 ","16,788 ",24% ,(5%) 
Activos Productivos Promedio ,"1,481,187 ","1,625,011 ","1,640,360 ",1% ,11% 
MIN (1) ,5.9% ,4.8% ,4.9% ,,
MIN ajustado por Provisiones de Crédito (2) ,4.8% ,3.3% ,4.1% ,,
MIN ajustado sin Seguros y Pensiones ,5.6% ,5.0% ,4.8% ,,
MIN de Cartera Crediticia (3) ,8.4% ,7.6% ,7.4% ,,


