Table
Grupo Financiero Banorte ,,CONSEJEROS SUPLENTES ,
PROPIETARIOS ,,Graciela González Moreno ,
Carlos Hank González ,Presidente ,Juan Antonio González Marcos ,
Juan Antonio González Moreno ,,Alberto Halabe Hamui ,Independiente 
David Juan Villareal Montemayor ,,Gerardo Salazar Viezca ,
José Marcos Ramirez Miguel ,,Alberto Pérez Jacome Friscione ,
Carlos de la Isla Corry ,,Diego Martínez Rueda-Chapital ,Independiente 
Everardo Elizondo Almaguer Carmen Patricia Armendáriz Guerra ,Independiente Independiente ,Roberto Khelleher Vales ,Independiente 
Héctor Federico Reyes-Retana y Dahl ,Independiente ,Clemente Ismael Reyes Retana Valdés ,Independiente 
Alfredo Elías Ayub ,Independiente ,Isaac Becker Kabacnik ,Independiente 
Adrián Sada Cueva ,Independiente ,José María Garza Treviño ,Independiente 
David Peñaloza Alanis ,Independiente ,Carlos Césarman Kolteniuk ,Independiente 
José Antonio Chedreaui Eguía ,Independiente ,Huberto Tafolla Nuñez ,Independiente 
Alfonso de Angoitia Noriega ,Independiente ,Guadalupe Phillips Margain ,Independiente 
Thomas Stanley Heather Rodríguez ,Independiente ,Ricardo Maldonado Yáñez ,Independiente 


