Table
Estado de Resultados y Balance General - Pensiones Banorte (Millones de Pesos) ,2T19 ,1T20 ,2T20 ,Var. 1T20 ,Vs. 2T19 ,1S19 ,1S20 ,Var. Vs 1S19 
Ingresos por Intereses (Neto) ,"1,224 ","3,469 ",337 ,(90%) ,(73%) ,"3,117 ","3,806 ",22% 
Ingresos por Primas (Neto) ,"2,776 ","3,489 ","2,494 ",(29%) ,(10%) ,"5,513 ","5,983 ",9% 
Incremento neto de reservas técnicas ,"1,892 ","4,642 ",451 ,(90%) ,(76%) ,"4,440 ","5,092 ",15% 
Reclamaciones y Otras obligaciones (neto) ,"1,689 ","1,826 ","1,939 ",6% ,15% ,"3,321 ","3,764 ",13% 
Resultado Técnico ,(804) ,"(2,978) ",105 ,NA ,N.A. ,"(2,248) ","(2,874) ",(28%) 
Ingresos de Intereses Netos ,420 ,491 ,441 ,(10%) ,5% ,870 ,932 ,7% 
Comisiones Netas ,- ,- ,(1) ,N.A. ,N.A. ,- ,(1) ,N.A. 
Intermediación de Valores ,16 ,11 ,110 ,903% ,581% ,23 ,121 ,437% 
Otros Ingresos (Egresos) de la Operación ,(19) ,(1) ,148 ,N.A. ,N.A. ,2 ,147 ,6840% 
Ingreso Total de Operación ,417 ,501 ,699 ,39% ,67% ,894 ,"1,200 ",34% 
Gasto No Financiero ,105 ,97 ,94 ,(2%) ,(10%) ,201 ,191 ,(5%) 
Resultado Neto de Operación ,312 ,405 ,604 ,49% ,94% ,693 ,"1,009 ",46% 
Impuestos ,91 ,122 ,182 ,49% ,100% ,202 ,304 ,50% 
Participación en el Resultado de Subsidiarias ,2 ,1 ,2 ,24% ,(8%) ,4 ,3 ,(25%) 
Participación no controladora ,- ,- ,- ,N.A. ,N.A. ,- ,- ,N.A. 
Utilidad Neta ,223 ,284 ,424 ,49% ,90% ,495 ,708 ,43% 
Capital Contable ,"4,344 ","5,150 ","5,602 ",9% ,29% ,"4,344 ","5,602 ",29% 
Activo Total ,"128,417 ","141,415 ","156,112 ",10% ,22% ,"128,417 ","156,112 ",22% 
Reservas Técnicas ,"122,485 ","134,008 ","148,321 ",11% ,21% ,"122,485 ","148,321 ",21% 
Primas Emitidas ,"2,776 ","3,489 ","2,494 ",(29%) ,(10%) ,"5,513 ","5,983 ",9% 
Índice de cobertura de reservas técnicas ,1.0 ,1.0 ,1.0 ,0.0 pp ,0.0 pp ,1.0 ,1.0 ,0.0 pp 
Índice de cobertura del requerimiento de capital de solvencia ,32.7 ,26.3 ,26.3 ,(0.0 pp) ,(6.4 pp) ,32.7 ,26.3 ,(6.4 pp) 
ROE ,21.1% ,22.7% ,31.6% ,8.9 pp ,10.5 pp ,24.1% ,27.2% ,3.1 pp 


