Table
SOFOM y Organizaciones Auxiliares del Crédito (Millones de Pesos) ,2T19 ,1T20 ,2T20 ,Var. 1T20 ,Vs. 2T19 ,1S19 ,1S20 ,Var. Vs. 1S19 
Arrendadora y Factor ,,,,,,,,
Utilidad Neta ,210 ,203 ,245 ,21% ,17% ,436 ,447 ,3% 
Capital Contable ,"5,394 ","6,111 ","6,356 ",4% ,18% ,"5,394 ","6,356 ",18% 
Cartera Total (1) ,"34,750 ","36,150 ","33,053 ",(9%) ,(5%) ,"34,750 ","33,053 ",(5%) 
Cartera Vencida ,315 ,352 ,369 ,5% ,17% ,315 ,369 ,17% 
Reservas Crediticias ,368 ,473 ,479 ,1% ,30% ,368 ,479 ,30% 
Activo Total ,"35,333 ","36,373 ","33,814 ",(7%) ,(4%) ,"35,333 ","33,814 ",(4%) 
ROE ,15.9% ,13.5% ,15.7% ,2.2 pp ,(0.2 pp) ,16.8% ,14.6% ,(2.2 pp) 
Almacenadora ,,,,,,,,
Utilidad Neta ,11 ,10 ,9 ,(9%) ,(16%) ,(16) ,19 ,N.A. 
Capital Contable ,227 ,255 ,264 ,3% ,16% ,227 ,264 ,16% 
Inventarios ,912 ,758 ,"1,299 ",71% ,42% ,912 ,"1,299 ",42% 
Activo Total ,"1,091 ",937 ,"1,526 ",63% ,40% ,"1,091 ","1,526 ",40% 
ROE ,19.1% ,15.6% ,13.6% ,(2.0 pp) ,(5.5 pp) ,(14%) ,14.6% ,28.8 pp 
Sólida Administradora de Portafolios ,,,,,,,,
Utilidad Neta ,78 ,(146) ,(11) ,93% ,(114%) ,(31) ,(157) ,(406%) 
Capital Contable ,"3,150 ","2,867 ","2,855 ",(0%) ,(9%) ,"3,150 ","2,855 ",(9%) 
Cartera Total ,"1,941 ","1,457 ",0 ,(100%) ,(100%) ,"1,941 ",0 ,(100%) 
Cartera Vencida ,82 ,33 ,0 ,(100%) ,(100%) ,82 ,0 ,(100%) 
Reservas Crediticias ,154 ,100 ,- ,(100%) ,(100%) ,154 ,- ,(100%) 
Activo Total ,"8,940 ","8,803 ","7,165 ",(19%) ,(20%) ,"8,940 ","7,165 ",(20%) 
Ixe Servicios ,,,,,,,,
Utilidad Neta ,(0.3) ,(0.2) ,(0.5) ,(120%) ,53% ,(0.5) ,(0.7) ,(35%) 
Capital Contable ,137 ,137 ,136 ,(0%) ,(1%) ,137 ,136 ,(1%) 
Activo Total ,137 ,137 ,136 ,(0%) ,(1%) ,137 ,136 ,(1%) 
ROE ,(0.9%) ,(0.7%) ,(1.5%) ,(0.8 pp) ,(0.5 pp) ,(0.8%) ,(1.1%) ,(0.3 pp) 


