Table
COMPAÑÍA ,ANALISTA ,OPINIÓN ,FECHA 
Actinver ,Enrique Mendoza ,Compra ,16-Apr-20 
Barclays ,Gilberto García ,Compra ,23-Mar-20 
Bradesco ,Alain Nicolau ,Compra ,13-Mar-19 
Brasil Plural ,Eduardo Nishio ,Compra ,24-Apr-20 
BTG Pactual ,Eduardo Rosman ,Compra ,23-Apr-20 
Citi ,Jorg Friedman ,Compra ,28-Jun-20 
GBM ,Natalia Zamora ,Compra ,9-Dec-19 
Goldman Sachs ,Tito Labarta ,Compra ,17-Jun-20 
HSBC ,Carlos Gómez ,Compra ,28-Jun-20 
Intercam ,Sofía Robles ,Compra ,23-Jan-20 
Invex ,Montserrat Antón ,Compra ,4-May-20 
Itaú BBA ,Arturo Langa ,Compra ,30-Mar-20 
JP Morgan ,Domingos Falavina ,Compra ,2-Apr-20 
Monex ,Verónica Uribe ,Compra ,23-Apr-20 
Santander ,Claudia Benavente ,Compra ,28-Apr-20 
Scotia ,Marco Montañez ,Compra ,29-Jun-20 
UBS ,Philip Finch ,Compra ,10-Jun-20 
Vector ,Marco Montañez ,Compra ,9-Jun-20 
BBVA ,Rodrigo Ortega ,Mantener ,12-Apr-20 
BOFA - Merill Lynch ,Mario Pierry ,Mantener ,29-Jun-20 
Credit Suisse ,Marcelo Telles ,Vender ,17-Jun-20 
Morgan Stanley ,Jorge Kuri ,Vender ,29-Jun-20 


Table
No. de Acciones (Millones) ,SERIES O Al 30 de junio de 2020 
No. de Acciones Emitidas ,"2,883,456,594 "
No. de Acciones en Circulación ,"2,883,456,594 "
Acciones en la Tesorería de GFNorte ,0 


