Table
Estado de Resultados-GFNorte (Millones de Pesos) ,1T19 ,2T19 ,3T19 ,4T19 ,1T20 ,2T20 
Ingresos por Intereses ,"37,751 ","37,276 ","36,796 ","37,285 ","36,648 ","32,338 "
Gastos por Intereses ,"18,126 ","18,038 ","16,512 ","14,858 ","14,366 ","13,019 "
Comisiones cobradas ,323 ,335 ,365 ,382 ,360 ,346 
Comisiones Pagadas ,281 ,279 ,284 ,316 ,291 ,270 
Ingresos de Intereses Netos de intereses y comisiones ,"19,668 ","19,295 ","20,365 ","22,493 ","22,351 ","19,395 "
Ingresos por Primas (Neto) ,"12,214 ","6,271 ","6,305 ","7,747 ","12,155 ","8,118 "
Incremento neto de reservas técnicas ,"6,766 ","1,228 ","1,922 ","5,086 ","7,946 ","1,216 "
"Siniestros, Reclamaciones y Otras Obligaciones ","4,332 ","4,846 ","4,634 ","4,967 ","4,592 ","5,613 "
Ingresos de Intereses Netos antes de Estim. Ptva. para Riesgos Cred. ,"20,784 ","19,492 ","20,114 ","20,188 ","21,968 ","20,683 "
Provisiones Prev. para Riesgos crediticios ,"3,736 ","3,728 ","4,118 ","3,765 ","4,344 ","8,456 "
Ingresos de Intereses Netos Ajustado por Riesgos Crediticios ,"17,048 ","15,764 ","15,996 ","16,423 ","17,623 ","12,227 "
Por créditos comerciales V vivienda ,238 ,291 ,280 ,509 ,495 ,394 
Por créditos de consumo y tarjeta de crédito ,"1,212 ","1,246 ","1,282 ","1,424 ","1,242 ","1,049 "
Fiduciario ,104 ,108 ,127 ,146 ,119 ,102 
Ingresos por Portafolios Inmobiliarios ,48 ,220 ,1 ,7 ,5 ,11 
Asesoría e Intermediación financiera ,108 ,171 ,131 ,102 ,147 ,126 
Otras comisiones Cobradas ,304 ,238 ,259 ,261 ,331 ,226 
Comisiones por Servicios Cobrados ,"5,540 ","6,002 ","5,929 ","6,591 ","6,115 ","5,406 "
Cuotas de Intercambio ,"1,082 ","1,077 ","1,168 ","1,349 ","1,226 ","1,018 "
Comisiones de Seguros ,581 ,296 ,581 ,(109) ,473 ,353 
Otras Comisiones Pagadas ,910 ,999 ,997 ,"1,120 ",961 ,966 
Comisiones por Servicios Pagados ,"2,573 ","2,372 ","2,746 ","2,361 ","2,660 ","2,337 "
Comisiones por Servicios Netas ,"2,967 ","3,630 ","3,183 ","4,230 ","3,455 ","3,069 "
Divisas y Metales ,(6) ,(26) ,(13) ,36 ,"1,235 ",(501) 
Derivados ,521 ,176 ,"(1,473) ",(79) ,"(1,238) ","1,139 "
Títulos ,186 ,29 ,155 ,70 ,(166) ,(111) 
Valuación ,702 ,179 ,"(1,330) ",26 ,(169) ,527 
Divisas y Metales ,101 ,206 ,471 ,342 ,(862) ,774 
Derivados ,82 ,121 ,"2,270 ",(115) ,"1,742 ",(323) 
Títulos ,267 ,456 ,892 ,618 ,455 ,724 
Compra-venta ,450 ,783 ,"3,633 ",845 ,"1,335 ","1,175 "
Ingresos por Intermediación ,"1,152 ",963 ,"2,303 ",872 ,"1,166 ","1,703 "
Recuperación de cartera de crédito ,- ,- ,- ,- ,- ,- 
Portafolios de crédito ,59 ,85 ,86 ,57 ,80 ,63 
Resultado por bienes adjudicados ,88 ,74 ,177 ,206 ,88 ,132 
Liberación de Provisiones ,- ,- ,- ,- ,- ,- 
Deterioro de Activos ,(132) ,- ,- ,- ,(55) ,- 
Ingresos por Arrendamiento ,91 ,92 ,119 ,114 ,100 ,77 
Provenientes de Seguros ,263 ,255 ,240 ,246 ,211 ,322 
Resultado por Valuación en Op. de Bursatilización ,27 ,48 ,37 ,(7) ,31 ,6 
Otros (gastos) ,"1,747 ",100 ,61 ,130 ,(128) ,541 
Total Otros Ingresos (Egresos) de la Operación ,"2,143 ",653 ,722 ,746 ,327 ,"1,140 "
Total de Ingresos No Financieros ,"6,262 ","5,246 ","6,208 ","5,847 ","4,949 ","5,911 "
Ingreso Total de Operación ,"23,310 ","21,010 ","22,204 ","22,270 ","22,572 ","18,139 "
Gasto de Personal ,"3,932 ","3,567 ","4,258 ","4,105 ","3,930 ","3,891 "
Participación de los Trabajadores en las Utilidades (P.T.U.) causado ,123 ,123 ,122 ,136 ,133 ,133 
Honorarios Pagados ,738 ,796 ,941 ,625 ,748 ,801 
Gastos de Administración y Promoción ,"2,135 ","2,002 ","2,180 ","2,377 ","2,382 ","2,032 "
"Rentas, Depreciaciones y Amortizaciones ","1,676 ","1,635 ","1,772 ","1,919 ","1,946 ","2,047 "
Otros impuestos y Gastos No deducibles ,561 ,573 ,484 ,602 ,498 ,483 
Aportación al Fobaproa o al IPAB ,839 ,829 ,821 ,809 ,828 ,919 
Total Gasto No Financiero ,"10,004 ","9,525 ","10,578 ","10,572 ","10,466 ","10,307 "
Resultado de la Operación ,"13,306 ","11,485 ","11,626 ","11,698 ","12,106 ","7,832 "
Participación en subsidiarias y asociadas no consolidadas ,411 ,466 ,451 ,389 ,353 ,648 
Resultados Antes de Impuestos a la Utilidad ,"13,717 ","11,951 ","12,077 ","12,086 ","12,459 ","8,480 "
Impuestos a la utilidad causados ,"3,062 ","2,472 ","3,088 ","1,903 ","3,555 ",947 
Impuesto al Activo ,- ,- ,- ,- ,- ,- 
Impuestos a la utilidad diferidos ,588 ,628 ,6 ,"1,049 ",(328) ,939 
Impuestos ,"3,650 ","3,100 ","3,094 ","2,951 ","3,228 ","1,886 "
Resultados antes de operaciones discontinuadas ,"10,067 ","8,851 ","8,983 ","9,135 ","9,231 ","6,593 "
Operaciones discontinuadas ,- ,- ,- ,- ,- ,- 
Participación no controladora ,(135) ,(123) ,(125) ,(125) ,(113) ,(75) 
Utilidad Neta ,"9,932 ","8,728 ","8,858 ","9,010 ","9,118 ","6,518 "


