Table
Banco - Balance General (Millones de Pesos) ,1T19 ,2T19 ,3T19 ,4T19 ,1T20 ,2T20 
PASIVOS ,,,,,,
Depósitos exigibilidad inmediata ,"391,855 ","394,308 ","399,464 ","435,453 ","451,842 ","479,142 "
Depósitos a plazo-Del Público en General ,"280,277 ","268,190 ","263,555 ","261,705 ","275,566 ","265,347 "
Depósitos a plazo-Mercado de Dinero ,"51,019 ","49,515 ","33,999 ","18,122 ","26,894 ","28,433 "
Cuenta global de captación sin movimientos ,"1,803 ","1,856 ","1,919 ","2,085 ","2,213 ","2,368 "
Títulos de crédito emitidos ,"12,272 ","24,159 ","27,483 ","26,907 ","35,355 ","46,430 "
Captación de Recursos ,"737,227 ","738,028 ","726,420 ","744,271 ","791,870 ","821,721 "
De exigibilidad inmediata ,0 ,900 ,"7,851 ",500 ,"5,000 ",0 
De corto plazo ,"11,864 ","9,737 ","9,996 ","9,276 ","8,332 ","40,754 "
De largo plazo ,"21,767 ","22,169 ","3,940 ","4,854 ","4,197 ","4,156 "
Préstamos de Bancos y otros ,"33,631 ","32,806 ","21,787 ","14,630 ","17,529 ","44,910 "
Valores asignados por liquidar ,- ,- ,- ,- ,- ,- 
Acreedores por reporto ,"172,118 ","152,642 ","165,120 ","162,684 ","175,685 ","190,404 "
Préstamos de Valores ,- ,- ,- ,- ,- ,- 
Reportos (saldo acreedor) ,9 ,4 ,4 ,105 ,16 ,8 
Préstamos de valores ,- ,- ,- ,- ,- ,- 
Derivados ,- ,- ,- ,- ,- ,- 
Otros colaterales vendidos ,- ,- ,- ,- ,- ,- 
Total de Colaterales vendidos o dados en garantía ,9 ,4 ,4 ,105 ,16 ,8 
Con fines de negociación ,"18,872 ","20,367 ","24,226 ","20,752 ","50,574 ","58,754 "
Con fines de cobertura ,"9,313 ","8,763 ","5,079 ","4,221 ","10,487 ","7,682 "
Operaciones con valores y derivados ,- ,- ,- ,- ,- ,- 
Derivados ,"28,184 ","29,130 ","29,305 ","24,973 ","61,062 ","66,436 "
Total de Op. con Valores y Derivados ,"200,311 ","181,775 ","194,428 ","187,763 ","236,763 ","256,847 "
Ajustes de valuación por cobertura de pasivos financieros ,- ,- ,- ,- ,- ,- 
Obligaciones en operaciones de bursatilización ,- ,- ,- ,- ,- ,- 
Impuestos a la Utilidad por pagar ,"1,341 ","1,331 ","1,792 ","1,513 ","2,402 ","1,204 "
Participación de los trabajadores en la utili. ,606 ,256 ,374 ,508 ,639 ,280 
Aport. para futuros aumentos de capital pendientes de formalizar por su órgano de gobierno ,- ,- ,- ,- ,- ,- 
Acreedores por liquidación de operaciones ,"11,561 ","7,014 ","9,281 ","9,397 ","29,983 ","3,524 "
Acreedores por cuentas de margen ,- ,- ,- ,- ,- ,- 
Acreedores Diver. y otras ctas. p/pagar ,"37,575 ","31,206 ","32,689 ","28,758 ","42,155 ","39,933 "
Otras cuentas por pagar ,"51,082 ","39,808 ","44,137 ","40,176 ","75,179 ","44,941 "
Obligaciones subordinadas en circulación ,"33,327 ","53,953 ","55,515 ","48,050 ","58,423 ","57,321 "
Impuestos diferidos (Neto) ,- ,- ,- ,- ,- ,- 
Créditos diferidos y Cobros Anticipados ,505 ,475 ,460 ,385 ,221 ,304 
TOTAL PASIVOS ,"1,056,082 ","1,046,845 ","1,042,747 ","1,035,276 ","1,179,984 ","1,226,044 "
CAPITAL ,,,,,,
Capital Social ,"18,794 ","18,794 ","18,794 ","18,794 ","18,794 ","18,794 "
Aport. para futuros aumentos de capital pendientes de formalizar por su órgano de gobierno ,- ,- ,- ,- ,- ,- 
Prima en venta de acciones ,"1,455 ","1,612 ","1,931 ","2,123 ","2,336 ","2,546 "
Obligaciones subordinadas en circulación ,- ,- ,- ,- ,- ,- 
Capital contribuido ,"20,250 ","20,406 ","20,726 ","20,917 ","21,131 ","21,340 "
Reservas de capital ,"14,847 ","17,330 ","17,330 ","17,330 ","17,330 ","18,959 "
Resultado de ejercicios anteriores ,"77,622 ","64,882 ","58,082 ","50,883 ","77,595 ","75,094 "
Res. por valuación de títulos disponibles para la venta ,65 ,755 ,"1,572 ","1,885 ","(2,824) ",597 
Res. por valuación de instrumentos de cobertura de flujos de efectivo ,"(3,082) ","(2,912) ","(2,676) ","(2,287) ","(3,965) ","(1,423) "
Resultado en la valuación de la reserva de riesgo en curso por variaciones en las tasas ,- ,- ,- ,- ,- ,- 
Efecto acumulado por conversión ,(13) ,(18) ,4 ,(34) ,177 ,160 
Remediciones por beneficios definidos a los empleados ,(752) ,(875) ,(999) ,"(1,930) ","(1,963) ","(1,997) "
Exceso (insuf.) en la actualiz. del Cap. Cont. ,- ,- ,- ,- ,- ,- 
Ajustes por obligaciones laborales al retiro ,- ,- ,- ,- ,- ,- 
Efecto acumulado de impuesto diferido ,- ,- ,- ,- ,- ,- 
Resultado neto ,"7,362 ","13,914 ","20,645 ","27,493 ","6,180 ","9,849 "
Capital Ganado ,"96,049 ","93,075 ","93,958 ","93,341 ","92,529 ","101,240 "
Participación no controladora ,3 ,3 ,3 ,3 ,3 ,3 
Total Capital Contable ,"116,301 ","113,484 ","114,686 ","114,261 ","113,663 ","122,583 "
TOTAL PASIVOS Y CAPITAL ,"1,172,383 ","1,160,329 ","1,157,433 ","1,149,536 ","1,293,647 ","1,348,628 "


