Table
Seguros Banorte - Balance General (Millones de Pesos) ,1T19 ,2T19 ,3T19 ,4T19 ,1T20 ,2T20 
ACTIVOS ,,,,,,
Disponibilidades ,63 ,423 ,965 ,303 ,"1,765 ","2,861 "
Cuentas de Margen ,- ,- ,- ,- ,- ,- 
Títulos para negociar ,"19,031 ","19,624 ","20,118 ","21,105 ","24,424 ","26,497 "
Títulos disponibles para la venta ,861 ,552 ,562 ,560 ,554 ,596 
Títulos conservados a vencimiento ,(0) ,(0) ,(0) ,(0) ,(0) ,(0) 
Inversiones en Valores ,"19,893 ","20,176 ","20,680 ","21,664 ","24,978 ","27,094 "
Deudores por reporto (saldo deudor) ,"3,200 ",545 ,491 ,"1,892 ","1,654 ",851 
Préstamo de Valores ,- ,- ,- ,- ,- ,- 
Operaciones con Derivados ,- ,- ,- ,- ,- ,- 
Operaciones con Valores y Derivadas ,"3,200 ",545 ,491 ,"1,892 ","1,654 ",851 
Ajustes de valuación por cobertura de activos ,- ,- ,- ,- ,- ,- 
Derechos de cobro adquiridos ,- ,- ,- ,- ,- ,- 
Cuentas por cobrar ,164 ,281 ,355 ,443 ,289 ,346 
Deudores por Prima (Neto) ,"10,970 ","8,611 ","5,972 ","4,059 ","7,581 ","8,937 "
Ctas por cobrar a reaseguradores y reafianzadores ,"11,532 ","10,884 ","10,920 ","7,787 ","8,162 ","8,872 "
Beneficios por recibir en operaciones de Busatilización ,- ,- ,- ,- ,- ,- 
"Otras Cuentas por cobrar, neto ",- ,- ,- ,- ,- ,- 
Inventario de Mercancías ,- ,- ,- ,- ,- ,- 
"Propiedades, Mobiliario y equipo (Neto) ",371 ,365 ,357 ,356 ,346 ,342 
Inversiones permanentes ,"12,840 ","13,273 ","13,696 ","14,062 ","12,849 ","13,241 "
Activos de larga duración disponibles para la venta ,- ,- ,- ,- ,- ,- 
"Impuestos diferidos, neto ",250 ,250 ,297 ,298 ,298 ,298 
"Cargos diferidos, pagos anticipados e intangibles ","1,858 ","2,253 ","2,472 ","2,655 ","1,710 ","2,322 "
Otros activos a corto y largo plazo ,91 ,87 ,90 ,91 ,91 ,93 
,"38,078 ","36,004 ","34,159 ","29,751 ","31,326 ","34,450 "
TOTAL ACTIVOS ,"61,233 ","57,148 ","56,296 ","53,610 ","59,723 ","65,256 "


