Table
ACTIVOS ,Operadora de Fondos Banorte ,IXE Servicios ,Sólida Administradora de Portafolios ,Total ,Cargos Eliminaciones Intercompañías ,Créditos Eliminaciones Intercompañías ,Saldo Final 
Disponibilidades ,994 ,39 ,30 ,"115,458 ",119 ,"9,529 ","106,047 "
Cuentas de Margen ,- ,- ,- ,"18,353 ",- ,- ,"18,353 "
Inversiones en Valores ,- ,- ,- ,"655,931 ",- ,"11,469 ","644,463 "
Títulos para negociar ,- ,- ,- ,"243,834 ",- ,- ,"243,834 "
Títulos Disponibles para la venta ,- ,- ,- ,"231,192 ",- ,78 ,"231,114 "
Títulos Conservados a vencimiento ,- ,- ,- ,"180,905 ",- ,"11,391 ","169,514 "
Deudores por reporto (saldo deudor) ,- ,- ,- ,"2,779 ",- ,851 ,"1,928 "
Derivados con fines de negociación ,- ,- ,- ,"61,705 ",- ,- ,"61,705 "
Derivados con fines de cobertura ,- ,- ,- ,"2,384 ",- ,- ,"2,384 "
Ajustes de valuación por cobertura de activos ,- ,- ,- ,62 ,- ,- ,62 
Cartera de Crédito Total ,- ,- ,0 ,"799,809 ","2,266 ","18,300 ","783,774 "
Cartera de Crédito Neto ,- ,- ,0 ,"798,371 ","2,266 ","18,300 ","782,337 "
Cartera de Crédito Vigente ,- ,- ,- ,"807,672 ","2,266 ","18,300 ","791,637 "
Créditos Comerciales ,- ,- ,- ,"326,253 ",604 ,322 ,"326,535 "
Créditos a Entidades Financieras ,- ,- ,- ,"24,365 ",- ,"14,863 ","9,502 "
Créditos a Entidades Gubernamentales ,- ,- ,- ,"164,171 ","1,661 ","3,115 ","162,717 "
Créditos al Consumo ,- ,- ,- ,"115,601 ",- ,- ,"115,601 "
Créditos a la Vivienda ,- ,- ,- ,"177,282 ",- ,- ,"177,282 "
Media y Residencial ,- ,- ,- ,"174,331 ",- ,- ,"174,331 "
De interés social ,- ,- ,- ,5 ,- ,- ,5 
Créditos adquiridos al INFONAVIT FOVISSSTE ,- ,- ,- ,"2,946 ",- ,- ,"2,946 "
Cartera de Crédito Vencida ,- ,- ,0 ,"9,254 ",- ,- ,"9,254 "
Créditos Comerciales ,- ,- ,0 ,"2,604 ",- ,- ,"2,604 "
Créditos a Entidades Financieras ,- ,- ,- ,- ,- ,- ,- 
Créditos a Entidades Gubernamentales ,- ,- ,- ,115 ,- ,- ,115 
Créditos al Consumo ,- ,- ,- ,"4,229 ",- ,- ,"4,229 "
Créditos a la Vivienda ,- ,- ,- ,"2,305 ",- ,- ,"2,305 "
Media y Residencial ,- ,- ,- ,"2,025 ",- ,- ,"2,025 "
De interés social ,- ,- ,- ,1 ,- ,- ,1 
Créditos adquiridos al INFONAVIT o FOVISSSTE ,- ,- ,- ,279 ,- ,- ,279 
Prov. Prev. Riesgos Crediticios ,- ,- ,- ,"18,555 ",- ,- ,"18,555 "
Derechos de cobro adquiridos ,- ,- ,- ,"1,438 ",- ,- ,"1,438 "
Cuentas por cobrar de Instituciones de Seguros y Pensiones ,- ,- ,- ,"2,432 ",- ,- ,"2,432 "
Deudores por Prima (Neto) ,- ,- ,- ,"9,196 ",- ,- ,"9,196 "
Ctas por cobrar a reaseguradores y reafianzadores ,- ,- ,- ,"8,872 ",- ,- ,"8,872 "
Beneficios por recibir en operaciones de reporto ,- ,- ,- ,156 ,- ,- ,156 
"Otras Cuentas por cobrar, neto ",190 ,4 ,372 ,"51,184 ",- ,203 ,"50,981 "
Inventario de Mercancías ,- ,- ,- ,"1,299 ",- ,- ,"1,299 "
Bienes Adjudicados ,- ,- ,257 ,"1,075 ",- ,- ,"1,075 "
"Inmueb., Mobiliario y equipo, neto ",0 ,91 ,195 ,"30,861 ",334 ,44 ,"31,151 "
Inversiones permanentes ,115 ,- ,45 ,"180,643 ","2,901 ","169,650 ","13,894 "
Activos de larga duración disponibles para la venta ,- ,- ,- ,- ,- ,- ,- 
"Impuestos diferidos, neto ",0 ,- ,"1,007 ","2,440 ",- ,"2,239 ",201 
Total Otros activos ,4 ,1 ,"5,259 ","45,822 ",- ,214 ,"45,608 "
Crédito Mercantil ,- ,- ,- ,"26,782 ",- ,- ,"26,782 "
Intangibles ,0 ,1 ,242 ,"13,624 ",- ,149 ,"13,475 "
Otros activos ,4 ,- ,"5,017 ","5,416 ",- ,65 ,"5,351 "
TOTAL ACTIVOS ,"1,303 ",136 ,"7,165 ","1,990,460 ","5,619 ","212,498 ","1,783,581 "


