Table
,,Moneda Nacional ,,Moneda ,Extranjera ,(USD) ,,Total ,
(Millones de Pesos Nominales) ,ago-02 ,mar-20 ,jun-20 ,ago-02 ,mar-20 ,jun-20 ,ago-02 ,mar-20 ,jun-20 
Comercial ,5 ,0 ,0 ,5 ,0 ,0 ,10 ,0 ,0 
Consumo ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Hipotecario ,54 ,4 ,3 ,0 ,0 ,0 ,54 ,4 ,3 
Cartera Vigente ,59 ,4 ,3 ,5 ,0 ,0 ,64 ,4 ,3 
,,,,,,,,,
Comercial ,405 ,183 ,183 ,293 ,2 ,2 ,698 ,184 ,184 
Consumo ,81 ,71 ,71 ,0 ,0 ,0 ,81 ,71 ,71 
Hipotecario ,"1,112 ",189 ,189 ,0 ,0 ,0 ,"1,112 ",189 ,189 
Cartera Vencida ,"1,598 ",443 ,443 ,293 ,2 ,2 ,"1,891 ",445 ,444 
,,,,,,,,,
CARTERA TOTAL ,"1,657 ",447 ,446 ,298 ,2 ,2 ,"1,955 ",448 ,448 
,,,,,,,,,
Comercial ,326 ,183 ,183 ,246 ,2 ,2 ,572 ,184 ,184 
Consumo ,77 ,71 ,71 ,0 ,0 ,0 ,77 ,71 ,71 
Hipotecario ,669 ,191 ,191 ,0 ,0 ,0 ,669 ,191 ,191 
Reservas Crediticias (1) ,"1,072 ",445 ,444 ,246 ,2 ,2 ,"1,318 ",446 ,446 


