Table
,Moneda ,Nacional ,UDIS ,,Moneda ,Extranjera ,Total ,
,2T19 ,2T20 ,2T19 ,2T20 ,2T19 ,2T20 ,2T19 ,2T20 
Cartera Vigente ,,,,,,,,
Créditos Comerciales ,"235,143 ","250,379 ",0 ,- ,"59,448 ","76,156 ","294,591 ","326,535 "
Créditos a Entidades Financieras ,"7,942 ","9,364 ",0 ,- ,0 ,138 ,"7,942 ","9,502 "
Créditos al Consumo ,"115,577 ","115,601 ",0 ,- ,0 ,- ,"115,577 ","115,601 "
Créditos a la Vivienda ,"162,507 ","177,191 ",112 ,91 ,0 ,- ,"162,619 ","177,282 "
Créditos a Entidades Gubernamentales ,"171,162 ","149,063 ","6,508 ","2,506 ","9,784 ","11,148 ","187,454 ","162,717 "
Total ,"692,331 ","701,598 ","6,620 ","2,597 ","69,232 ","87,442 ","768,183 ","791,637 "
Cartera Vencida ,,,,,,,,
Créditos Comerciales ,"6,506 ","2,600 ",0 ,0 ,"1,640 ",4 ,"8,146 ","2,604 "
Créditos a Entidades Financieras ,4 ,0 ,0 ,- ,0 ,- ,4 ,- 
Créditos al Consumo ,"4,716 ","4,229 ",0 ,- ,0 ,- ,"4,716 ","4,229 "
Créditos a la Vivienda ,"1,680 ","2,291 ",17 ,14 ,0 ,0 ,"1,696 ","2,305 "
Créditos a Entidades Gubernamentales ,4 ,115 ,- ,- ,- ,- ,4 ,115 
Total ,"12,911 ","9,236 ",17 ,14 ,"1,640 ",4 ,"14,567 ","9,254 "
Cartera de Crédito ,"705,242 ","710,834 ","6,637 ","2,611 ","70,871 ","87,447 ","782,750 ","800,891 "


Table
DIFERENCIAS TEMPORALES ACTIVAS ,ISR ,Neto 
Reservas Preventivas Globales de Cartera Crediticia ,"5,430 ","5,430 "
Provisiones no deducibles ,"1,478 ","1,478 "
Exceso del valor contable sobre el fiscal del bienes adjudicados y activo fijo ,303 ,303 
PTU disminuible ,192 ,192 
Comisiones cobrada por anticipado ,774 ,774 
Efecto por valuación de instrumentos financieros ,- ,- 
Pérdidas fiscales por amortizar ,976 ,976 
Provisiones para posibles pérdidas de créditos ,401 ,401 
Pérdida en venta de creditos y bienes adjudicados ,- ,- 
Disminución del valor de bienes inmuebles ,- ,- 
Intereses en prestamos ,- ,- 
Otras partidas ,332 ,332 
Total Activo ,"9,886 ","9,886 "
Diferencias Temporales Pasivas ,,
Aportación fondo de pensiones ,(122) ,(122) 
Adquisición de portafolios de cartera ,(416) ,(416) 
Proyectos capitalizables. pagos e ingresos anticipados ,"(5,843) ","(5,843) "
Activos Intangibles distintos del Fondo de Comercio ,- ,- 
Efecto por valuación de instrumentos financieros ,"(2,934) ","(2,934) "
Activos Intangibles con relacion con clientes ,(360) ,(360) 
Efecto por otras partidas ,(9) ,(9) 
Total Pasivo ,"(9,684) ","(9,684) "
Activo (Pasivo) neto acumulado ,201 ,201 


Table
,COSTO DEL PERIODO ,TOTAL SALDO DE CARTERA 
FINAPE ,- ,- 
FOPYME ,- ,- 
Hipotecario UDIS ,(4.8) ,0.0 
Hipotecario tipo FOVI ,- ,- 
,(4.8) ,0.0 


