Table
,2T19 ,1T19 ,2T20 ,Var vs. 2T19 ,Var vs. 2T20 
Banxico (Depósitos de Regulación Monerataria) ,"37,458 ","37,458 ","32,814 ",(12%) ,(12%) 
Banxico (Reportos Sistema de Pagos) ,"60,365 ","59,836 ","79,886 ",32% ,34% 
Banxico (Ventanilla Verde y Roja) ,- ,- ,"184,969 ",0% ,0% 
Subasta Crédito USD Banxico ,- ,- ,"63,496 ",0% ,0% 
Call Money ,"173,025 ","173,173 ","177,020 ",2% ,2% 
TOTAL ,"270,848 ","270,467 ","538,186 ",99% ,99% 


Table
Resultado por intermediación ,Consolidado 
Resultado por valuación a valor razonable ,(376) 
Títulos para negociar ,(277) 
Derivados con fines de negociación ,(91) 
Derivados con fines de cobertura ,(7) 
Pérdida por deterioro o incremento por revaluación ,0 
Resultado por valuación de divisas ,715 
Resultado por valuación de metales preciosos o amonedados ,19 
Resultado por compraventa de valores e instrumentos financieros derivados ,"2,599 "
Títulos para negociar ,341 
Títulos disponibles para la venta ,838 
Derivados con fines de cobertura ,"1,420 "
Resultado por compraventa de divisas ,(92) 
Resultado por compraventa de metales precios amonedados ,5 
Total ,"2,869 "


Table
Depósitos Exigibilidad Inmediata ,
Moneda Nacional y UDIs ,1.38% 
Moneda Extranjera ,0.04% 
Depósitos a Largo Plazo - del Público en General ,
Moneda Nacional y UDIs ,4.71% 
Moneda Extranjera ,0.30% 
Depósitos a Largo Plazo - Mesa de Dinero ,
Moneda Nacional y UDIs ,6.00% 
PRÉSTAMOS DE BANCOS Y OTROS (BANORTE) ,
De Exigibilidad Inmediata ,
Moneda Nacional y UDIs ,7.25% 
Banca de Fomento y Desarrollo ,
Moneda Nacional y UDIs ,10.22% 
Moneda Extranjera ,0.11% 


