Table
Cartera de ,Auto Persona ,Física bajo Modelo ,Interno ,Avanzado ,Millones de pesos 
Grado de Riesgo* ,Saldo Contable ,Exposición al Incumplimiento (EI) ,Severidad de la Pérdida ,PI ponderada por El ,El Vigente 
A1 ,"22,356 ","22,356 ",72.47% ,0.81% ,"22,356 "
A2 ,"1,236 ","1,236 ",88.06% ,2.50% ,"1,236 "
B1 ,0 ,0 ,0.00% ,0.00% ,0 
B2 ,0 ,0 ,0.00% ,0.00% ,0 
B3 ,714 ,714 ,65.99% ,8.71% ,699 
C1 ,"1,440 ","1,440 ",82.94% ,8.71% ,"1,408 "
C2 ,2 ,2 ,65.99% ,20.39% ,2 
D ,843 ,843 ,72.61% ,33.52% ,528 
E ,318 ,318 ,72.98% ,100.00% ,0 
Cartera Total ,"26,910 ","26,910 ",87.46% ,8.74% ,"26,230 "


Table
Cartera ,Pérdida Esperada Modelos Internos* ,Pérdida Observada* ,Diferencia Ps (Pérdida Observada - Pérdida Esperada) ,% Cobertura PNC 
Tarjeta de Crédito ,"4,646 ","4,637 ",(9) ,100% 
Cartera Total ,"4,646 ","4,637 ",(9) ,100% 


Table
Cartera ,Pérdida Esperada Modelos Internos* ,Pérdida Observada ,Diferencia Ps (Pérdida Observada - Pérdida Esperada) ,% Cobertura PNC 
Auto Persona Física ,667 ,662 ,(5) ,101% 
Cartera Total ,667 ,662 ,(5) ,101% 


