Table
Fuente de Fondeo (Millones de pesos) ,1T20 ,2T20 ,Var vs. 1T20 
Depósitos a la Vista ,,,
Moneda Nacional (1) ,"403,689 ","430,604 ",6.7% 
Moneda Extranjera (1) ,"51,181 ","51,611 ",0.8% 
Depósitos a la Vista ,"454,870 ","482,215 ",6.0% 
Depósitos a Plazo - Ventanilla ,,,
Moneda Nacional (2) ,"213,451 ","211,308 ",(1.0%) 
Moneda Extranjera ,"13,142 ","13,060 ",(0.6%) 
Captación Ventanilla ,"681,462 ","706,583 ",3.7% 
Mesa de Dinero ,,,
Moneda Nacional (3) ,"75,868 ","69,412 ",(8.5%) 
Moneda Extranjera (3) ,"31,794 ","42,900 ",34.9% 
Captación Integral Sector Banca ,"789,125 ","818,895 ",3.8% 
Incluye saldo de Cuenta Global de Captación ,sin Movimiento. ,,


