Table
,Banco y ,Sofomes 
Componentes del CCL (Millones de pesos) ,Importe Sin Ponderar (Promedio) ,Importe Ponderado (Promedio) 
ACTIVOS LÍQUIDOS COMPUTABLES ,,
1 Total de Activos Líquidos Computables ,No aplica ,"84,802 "
SALIDAS DE EFECTIVO ,,
2 Financiamiento minorista no garantizado ,"416,616 ","29,036 "
3 Financiamiento estable ,"252,517 ","12,626 "
4 Financiamiento menos estable ,"164,099 ","16,410 "
5 Financiamiento mayorista no garantizado ,"273,088 ","79,863 "
6 Depósitos operacionales ,"212,800 ","48,255 "
7 Depósitos no operacionales ,"55,229 ","26,549 "
8 Deuda no garantizada ,"5,059 ","5,059 "
9 Financiamiento mayorista garantizado ,"269,099 ","21,102 "
10 Requerimientos adicionales: ,"339,364 ","22,041 "
11 Salidas relacionadas a instrumentos financieros derivados y otros requerimientos de garantías ,"66,547 ","7,084 "
12 Salidas relacionadas a pérdidas del financiamiento de instrumentos de deuda ,0 ,0 
13 Líneas de crédito y liquidez ,"272,818 ","14,957 "
14 Otras obligaciones de financiamiento contractuales ,"1,498 ",192 
15 Otras obligaciones de financiamiento contingentes ,0 ,0 
16 TOTAL DE SALIDAS DE EFECTIVO ,No aplica ,"152,233 "
ENTRADAS DE EFECTIVO ,,
17 Entradas de efectivo por operaciones garantizadas ,"115,508 ","19,953 "
18 Entradas de efectivo por operaciones no garantizadas ,"90,691 ","70,484 "
19 Otras entradas de efectivo ,"5,048 ","5,048 "
20 TOTAL DE ENTRADAS DE EFECTIVO ,"211,246 ","95,486 "
,,Importe Ajustado 
21 TOTAL DE ACTIVOS LIQUIDOS COMPUTABLES ,No aplica ,"84,802 "
22 TOTAL NETO DE SALIDAS DE EFECTIVO ,No aplica ,"56,748 "
23 COEFICIENTE DE COBERTURA DE LIQUIDEZ ,No aplica ,150.80% 


