Table
Institución ,Tipo de Cotización ,Clasificación Contable ,Tratamiento Capitalización ,Valor Mercado 2T20 ,Plusvalía / Minusvalía Acum. ,Utilidad / Pérdida Ventas / Compras 
Banorte ,Cotización Pública ,Negociación ,Riesgo Mercado ,241.7 ,0.07 ,0 
Banorte ,Cotización Pública ,Disponibles para la Venta ,Riesgo Mercado ,0 ,(14.8) ,0 
Banorte ,Cotización Pública ,Negociación ,Deducción de capital ,262.4 ,161.7 ,0 
Banorte ,Sin Cotización Pública ,Disponibles para la Venta ,Riesgo Mercado y Crédito ,909.8 ,7.5 ,189.5 
,,,Total ,"1,413.9 ",154.4 ,189.5 


Table
Institución ,Tipo de Cotización ,Clasificación Contable ,Tratamiento Capitalización ,Valor Mercado 2T20 ,Plusvalía / Minusvalía Acum. ,Utilidad / Pérdida Ventas / Compras 
Casa de Bolsa Banorte ,Cotización Pública ,Negociación ,Riesgo Mercado ,602.2 ,355.0 ,4.8 
,,,Total ,602.2 ,355.0 ,4.8 


