Table
Gasto No Financiero (Millones de Pesos) ,2T20 ,1T21 ,2T21 ,Var. 1T21 ,Vs. 2T20 ,1S20 ,1S21 ,Var. Vs. 1S20 
Gastos de Personal ,"3,891 ","4,006 ","4,273 ",7% ,10% ,"7,820 ","8,279 ",6% 
Honorarios Pagados ,801 ,806 ,808 ,0% ,1% ,"1,550 ","1,614 ",4% 
Gastos de Administración y Promoción ,"2,032 ","2,223 ","1,914 ",(14%) ,(6%) ,"4,415 ","4,137 ",(6%) 
"Rentas, Depreciaciones y Amortizaciones ","2,047 ","2,243 ","2,240 ",(0%) ,9% ,"3,994 ","4,483 ",12% 
Otros Impuestos y Gastos No deducibles ,483 ,553 ,589 ,6% ,22% ,982 ,"1,142 ",16% 
Aportaciones al IPAB ,919 ,912 ,889 ,(3%) ,(3%) ,"1,748 ","1,801 ",3% 
PTU causado ,133 ,139 ,139 ,(1%) ,4% ,265 ,278 ,5% 
Gasto No Financiero ,"10,307 ","10,883 ","10,851 ",(0%) ,5% ,"20,774 ","21,734 ",5% 


Table
Otros Ingresos y Egresos de la Operación (Millones de Pesos) ,2T20 ,1T21 ,2T21 ,Var. 1T21 ,Vs. 2T20 ,1S20 ,1S21 ,Var. Vs 1S20 
Portafolios de Crédito ,63 ,99 ,85 ,(14%) ,35% ,143 ,184 ,29% 
Resultado por Bienes Adjudicados ,132 ,87 ,132 ,52% ,0% ,220 ,219 ,(0%) 
Deterioro de Activos ,- ,- ,- ,N.A. ,N.A. ,(55) ,- ,100% 
Ingresos por Arrendamiento ,77 ,64 ,57 ,(11%) ,(26%) ,177 ,120 ,(32%) 
Provenientes de Seguros ,322 ,275 ,195 ,(29%) ,(39%) ,533 ,470 ,(12%) 
Resultado por Valuación en Op. de Bursatilización ,6 ,0 ,0 ,(63%) ,(99%) ,37 ,0 ,(100%) 
Otros ,541 ,298 ,141 ,(53%) ,(74%) ,413 ,438 ,6% 
Otros Ingresos (Egresos) de la Operación ,"1,140 ",822 ,609 ,(26%) ,(47%) ,"1,467 ","1,432 ",(2%) 


Table
Utilidad Neta (Millones de Pesos) ,2T20 ,1T21 ,2T21 ,Var. 1T21 ,Vs. 2T20 ,1S20 ,1S21 ,Var. Vs 1S20 
Resultado Neto de Operación ,"7,832 ","10,905 ","10,771 ",(1%) ,38% ,"19,938 ","21,676 ",9% 
Participación en el Resultado de Subsidiarias y Asociadas no consolidadas ,648 ,429 ,675 ,57% ,4% ,"1,001 ","1,104 ",10% 
Resultado antes de Impuestos ,"8,480 ","11,334 ","11,446 ",1% ,35% ,"20,939 ","22,780 ",9% 
Impuestos ,"1,886 ","2,678 ","2,756 ",3% ,46% ,"5,114 ","5,434 ",6% 
Partidas Discontinuadas ,- ,- ,- ,N.A. ,N.A. ,- ,- ,N.A. 
Participación no controladora ,(75) ,(112) ,(122) ,(10%) ,(62%) ,(189) ,(234) ,(24%) 
Utilidad Neta ,"6,518 ","8,544 ","8,568 ",0% ,31% ,"15,636 ","17,112 ",9% 


