Table
Cartera Vencida (Millones de Pesos) ,2T20 ,1T21 ,2T21 ,Var. 1T21 ,Vs. 2T20 
Tarjeta de Crédito ,"2,161 ","2,761 ","1,879 ",(882) ,(282) 
Crédito de Nómina ,"1,740 ","1,558 ","1,364 ",(194) ,(376) 
Automotriz ,329 ,375 ,308 ,(67) ,(20) 
Vivienda ,"2,305 ","2,071 ","1,966 ",(105) ,(339) 
Comercial ,"2,160 ","3,381 ","3,779 ",398 ,"1,619 "
Corporativo ,444 ,268 ,"1,719 ","1,451 ","1,275 "
Gobierno ,115 ,192 ,186 ,(6) ,71 
Total ,"9,254 ","10,607 ","11,202 ",595 ,"1,948 "


Table
Créditos a Infraestructura (Millones de Pesos) ,2T20 ,1T21 ,2T21 ,Var. 1T21 ,Vs. 2T20 
Cartera Vigente ,"48,844 ","48,927 ","46,433 ",(5%) ,(5%) 
% de Cartera Vigente Total ,5.7% ,6.1% ,5.8% ,(27 pb) ,15 pb 
Índice de Cartera Vencida ,0.2% ,1.2% ,1.3% ,14 pb ,106 pb 


