Table
Resultado Neto ,"17,112 "
Ajustes por partidas que no implican flujo de efectivo ,
"Depreciación de Inmuebles, mobiliario y equipo ","1,261 "
Reservas Técnicas ,"15,999 "
Provisiones ,258 
Impuestos a la utilidad causados y diferidos ,"5,434 "
"Participación en el resultado de subsidiarias no consolidadas, asociadas y negocios conjuntos ",(870) 
,"22,082 "
,"39,194 "
Actividades de operación ,
Cambio en cuentas de margen ,"9,396 "
Cambio en inversiones en valores ,"(38,127) "
Cambio en deudores por reporto ,"1,108 "
Cambio en derivados (activo) ,"23,817 "
Cambio en cartera de crédito (neto) ,"3,495 "
Cambio en derecho de cobro adquiridos (neto) ,196 
Cambio en cuentas por cobrar de instituciones de seguros y fianzas (neto) ,(49) 
Cambio en deudores por primas (neto) ,"(4,286) "
Cambio en reaseguradores yreafianzadores (neto) ,(438) 
Cambio en beneficios por recibir en operaciones de bursatilización ,110 
Cambio en bienes adjudicados (neto) ,(400) 
Cambio en otros activos operativos (neto) ,"(12,929) "
Cambio en captación tradicional ,"(11,630) "
Cambio en préstamos interbancarios yde otros organismos ,"(2,268) "
Cambio en acreedores por reporto ,"29,522 "
Cambio en colaterales vendidos o dados en garantía ,56 
Cambio en derivados (pasivo) ,"(24,086) "
Cambio en reservas técnicas (neto) ,446 
Cambio en reaseguradores yreafianzadores (neto) (pasivo) ,521 
Cambio en obligaciones subordinadas con características de pasivo ,92 
Cambio en otros pasivos operativos ,"3,246 "
Cambio en instrumentos de cobertura (de partidas cubiertas relacionadas con actividades de operación) ,"2,029 "
Pago de Impuestos a la utilidad ,"(7,522) "
Flujos netos de efectivo de actividades de operación ,"11,493 "
Actividades de inversión ,
"Cobros por disposición de inmuebles, mobiliario yequipo ","1,125 "
"Pagos por adquisición de inmuebles, mobiliario yequipo ","(1,857) "
"Pagos por adquisición de subsidiarias, asociadas acuerdos con control conjunto ",(9) 
Cobros de dividendos en efectivo ,"1,754 "
Flujos netos de efectivo de actividades de inversión ,"1,013 "
Actividades de financiamiento ,
Pagos de dividendos en efectivo ,"(9,132) "
Pagos de intereses de obligaciones subordinadas ,"(1,831) "
Flujos netos de efectivo de actividades de financiamiento ,"(10,963) "
Incremento o disminución neta de efectivo y equivalentes de efectivo ,"1,543 "
Efectos por cambios en el valor del efectivo y equivalentes de efectivo ,3 
Efectivo y equivalentes al inicio del período ,"109,306 "
Efectivo y equivalentes al final del período ,"110,852 "


