Table
Estado de Resultados - Seguros Banorte (Millones de Pesos) ,1T20 ,2T20 ,3T20 ,4T20 ,1T21 ,2T21 
Ingresos por Intereses ,517 ,643 ,396 ,340 ,257 ,329 
Gastos por Intereses ,- ,- ,- ,- ,- ,- 
Ingresos por Primas (Neto) ,"8,815 ","5,772 ","3,792 ","4,575 ","11,085 ","2,817 "
Incremento neto de reservas técnicas ,"3,304 ",765 ,(875) ,(248) ,"4,537 ","(1,525) "
"Siniestros, Reclamaciones y Otras obligaciones (neto) ","2,767 ","3,674 ","3,321 ","4,119 ","4,884 ","3,390 "
Ingresos de Intereses Netos ,"3,261 ","1,976 ","1,742 ","1,044 ","1,921 ","1,280 "
Comisiones y Tarifas Cobradas ,- ,- ,- ,- ,- ,- 
Comisiones y Tarifas Pagadas ,706 ,519 ,555 ,480 ,627 ,485 
Valuación de Títulos ,- ,- ,- ,- ,- ,- 
Compraventa de Títulos ,50 ,58 ,33 ,43 ,37 ,42 
Resultado por intermediación ,50 ,58 ,33 ,43 ,37 ,42 
Provenientes de Seguros ,203 ,167 ,191 ,302 ,270 ,195 
Quebrantos y Estimaciones ,(6) ,(10) ,(11) ,(3) ,(1) ,(3) 
Otros ingresos (egresos) ,3 ,3 ,2 ,(0) ,0 ,0 
Total Otros Ingresos (Egresos) de la Operación ,200 ,160 ,182 ,299 ,269 ,192 
Total de Ingresos No Financieros ,(456) ,(301) ,(340) ,(138) ,(321) ,(251) 
Ingreso Total de Operación ,"2,805 ","1,675 ","1,402 ",906 ,"1,600 ","1,029 "
Gasto de Personal ,105 ,112 ,107 ,110 ,107 ,109 
Participación de los Trabajadores en las Utilidades (PTU) causado ,1 ,1 ,1 ,5 ,1 ,1 
Honorarios Pagados ,78 ,70 ,71 ,9 ,63 ,51 
Gastos de Administración y Promoción ,117 ,96 ,87 ,47 ,130 ,123 
"Rentas, Depreciaciones y Amortizaciones ",45 ,44 ,46 ,48 ,45 ,46 
Otros impuestos y Gastos No deducibles ,22 ,27 ,28 ,29 ,34 ,50 
Aportación al Fobaproa ó al IPAB ,- ,- ,- ,- ,- ,- 
Total Gasto No Financiero ,368 ,351 ,339 ,247 ,380 ,381 
Resultado de la Operación ,"2,436 ","1,324 ","1,062 ",659 ,"1,220 ",649 
Participación en subsidiarias y asociadas no consolidadas ,332 ,630 ,463 ,485 ,404 ,465 
Resultados Antes de Impuestos a la Utilidad ,"2,768 ","1,953 ","1,525 ","1,143 ","1,624 ","1,113 "
Impuestos a la utilidad causados ,736 ,399 ,319 ,227 ,364 ,188 
Impuestos a la utilidad diferidos ,(4) ,(4) ,(4) ,(41) ,(4) ,(4) 
Impuestos ,732 ,395 ,316 ,186 ,361 ,184 
Resultados antes de operaciones discontinuadas ,"2,036 ","1,558 ","1,210 ",957 ,"1,263 ",929 
Operaciones discontinuadas ,- ,- ,- ,- ,- ,- 
Participación no controladora ,(7) ,(13) ,(10) ,(11) ,(9) ,(10) 
Utilidad Neta ,"2,029 ","1,545 ","1,200 ",946 ,"1,254 ",919 


