Table
,Operadora de Fondos Banorte ,IXE Servicios ,Total ,Cargos Eliminaciones Intercompañías ,Créditos Eliminaciones Intercompañías ,Saldo Final 
Ingresos por Intereses ,27 ,1 ,"67,686 ","4,229 ",415 ,"63,873 "
Ingresos por Primas (Neto) ,- ,- ,"24,157 ",215 ,- ,"23,942 "
Gastos por Intereses ,- ,- ,"23,426 ",- ,"4,135 ","19,292 "
Incremento neto de reservas técnicas ,- ,- ,"15,999 ",- ,- ,"15,999 "
"Siniestros, Reclamaciones y Otras obligaciones (neto) ",- ,- ,"12,896 ",- ,23 ,"12,873 "
Ingresos de Intereses Netos ,27 ,1 ,"39,521 ",- ,- ,"39,651 "
Provisiones Prev. para Riesgos crediticios ,- ,- ,"5,980 ",- ,- ,"5,980 "
Ingresos de Intereses Netos Ajustado por Riesgos Crediticios ,27 ,1 ,"33,542 ",- ,- ,"33,671 "
Comisiones Cobradas ,986 ,- ,"14,268 ","1,202 ",- ,"13,065 "
Comisiones Pagadas ,709 ,- ,"7,797 ",- ,"1,235 ","6,562 "
Ingresos por Intermediación ,- ,(3) ,"1,804 ",- ,- ,"1,804 "
Otros Ingresos (Egresos) de la Operación ,9 ,(18) ,"1,435 ",27 ,24 ,"1,432 "
Ingresos No Financieros ,"1,704 ",(23) ,"27,108 ","1,230 ","1,259 ","24,668 "
Ingreso Total de Operación ,"1,731 ",(23) ,"60,650 ","1,230 ","1,259 ","58,339 "
Gastos de Administración y Promoción ,22 ,2 ,"21,926 ",473 ,665 ,"21,734 "
Resultado de la Operación ,292 ,(22) ,"21,325 ",- ,- ,"21,676 "
Participación en el Resultado de Subsidiarias y Asociadas no consolidadas ,5 ,- ,"18,038 ","16,934 ",- ,"1,104 "
Resultado antes de Impuestos a la Utilidad ,296 ,(22) ,"39,364 ",- ,- ,"22,780 "
Impuestos a la utilidad causados ,82 ,0 ,"3,647 ",- ,- ,"3,647 "
Impuestos a la utilidad diferidos ,0 ,- ,"1,686 ",100 ,- ,"1,787 "
Resultado antes de Operaciones Discontinuas ,214 ,(22) ,"34,030 ",- ,- ,"17,346 "
Incr. Por Actn. De Operac. Discontinuadas ,- ,- ,- ,- ,- ,- 
Participación no controladora ,- ,- ,(17) ,217 ,- ,(234) 
Utilidad Neta ,214 ,(22) ,"34,014 ","23,298 ","6,059 ","17,112 "


Table
,Holding ,Banorte ,Ahorroy Previsión ,Arrendadora y Factor ,Almacenadora ,Casa de Bolsa Banorte 
Ingresos por Intereses ,216 ,"50,188 ","9,552 ","1,190 ",30 ,"6,483 "
Ingresos por Primas (Neto) ,- ,- ,"24,157 ",- ,- ,- 
Gastos por Intereses ,- ,"17,133 ",- ,715 ,0 ,"5,578 "
Incremento neto de reservas técnicas ,- ,- ,"15,999 ",- ,- ,- 
"Siniestros, Reclamaciones y Otras obligaciones (neto) ",- ,- ,"12,896 ",- ,- ,- 
Ingresos de Intereses Netos ,216 ,"33,055 ","4,814 ",474 ,29 ,905 
Provisiones Prev. para Riesgos crediticios ,- ,"5,815 ",- ,165 ,- ,- 
Ingresos de Intereses Netos Ajustado por Riesgos Crediticios ,216 ,"27,241 ","4,814 ",310 ,29 ,905 
Comisiones Cobradas ,- ,"12,516 ",- ,59 ,- ,706 
Comisiones Pagadas ,- ,"5,830 ","1,118 ",42 ,0 ,98 
Ingresos por Intermediación ,- ,"1,896 ",112 ,0 ,- ,(201) 
Otros Ingresos (Egresos) de la Operación ,11 ,420 ,466 ,390 ,15 ,142 
Ingresos No Financieros ,11 ,"22,558 ","1,807 ",492 ,15 ,545 
Ingreso Total de Operación ,227 ,"49,799 ","6,620 ",801 ,44 ,"1,449 "
Gastos de Administración y Promoción ,80 ,"20,008 ",979 ,308 ,26 ,502 
Resultado de la Operación ,146 ,"16,235 ","3,295 ",409 ,19 ,952 
Participación en el Resultado de Subsidiarias y Asociadas no consolidadas ,"16,934 ",241 ,868 ,(10) ,- ,0 
Resultado antes de Impuestos a la Utilidad ,"17,080 ","16,476 ","4,163 ",399 ,19 ,952 
Impuestos a la utilidad causados ,- ,"2,661 ",552 ,0 ,6 ,346 
Impuestos a la utilidad diferidos ,(16) ,"1,320 ",415 ,51 ,0 ,(84) 
Resultado antes de Operaciones Discontinuas ,"17,097 ","12,495 ","3,196 ",347 ,13 ,690 
Incr. Por Actn. De Operac. Discontinuadas ,- ,- ,- ,- ,- ,- 
Participación no controladora ,- ,(0) ,(17) ,(0) ,(0) ,- 
Utilidad Neta ,"17,097 ","12,495 ","3,179 ",347 ,13 ,690 


