Table
PASIVOS Y CAPITAL ,Holding ,Banorte ,Ahorroy Previsión ,Arrendadora Factor ,Almacenadora ,Casa de Bolsa Banorte 
Captación de Recursos ,- ,"815,389 ",- ,- ,- ,- 
Depósitos exigibilidad inmediata ,- ,"534,257 ",- ,- ,- ,- 
Depósitos a plazo ,- ,"246,482 ",- ,- ,- ,- 
Depósitos a plazo-Del Público en General ,- ,"243,118 ",- ,- ,- ,- 
Depósitos a plazo-Mercado de Dinero ,- ,"3,364 ",- ,- ,- ,- 
Títulos de crédito emitidos ,- ,"31,907 ",- ,- ,- ,- 
Cuenta global de captación sin movimientos ,- ,"2,744 ",- ,- ,- ,- 
Préstamos de Bancos y otros ,- ,"14,754 ",- ,"31,066 ",450 ,- 
De exigibilidad inmediata ,- ,0 ,- ,- ,- ,- 
De corto plazo ,- ,"8,155 ",- ,"23,443 ",450 ,- 
De largo plazo ,- ,"6,599 ",- ,"7,623 ",- ,- 
Reservas Técnicas ,- ,- ,"204,177 ",- ,- ,- 
Valores asignados por liquidar ,- ,- ,- ,- ,- ,- 
Acreedores por reporto ,- ,"119,110 ",- ,- ,- ,"273,887 "
Colaterales vendidos o dados en garantía ,- ,55 ,- ,- ,- ,22 
Derivados con fines de negociación ,- ,"20,003 ",- ,- ,- ,8 
Derivados con fines de cobertura ,- ,"5,623 ",- ,- ,- ,- 
Ajustes de valuación por cobertura de pasivos financieros ,- ,- ,- ,- ,- ,- 
Cuentas por pagar a Reaseguradores y Reafianzadores (Neto) ,- ,- ,"2,790 ",- ,- ,- 
Otras Cuentas por pagar ,0 ,"57,190 ","3,409 ","1,327 ",19 ,"3,548 "
Impuestos a la Utilidad por pagar ,- ,930 ,550 ,0 ,2 ,178 
Participación de los trabajadores en la utilidad ,- ,297 ,- ,- ,- ,- 
Acreedores por liquidación de operaciones ,0 ,"17,474 ",- ,- ,- ,"3,059 "
Acreedores por colaterales recibidos en efectivo ,- ,"3,192 ",- ,- ,- ,- 
Acreedores Diver. yotras ctas. p/pagar ,0 ,"35,297 ","2,858 ","1,327 ",17 ,311 
Obligaciones subordinadas en circulación ,- ,"57,243 ",- ,- ,- ,- 
Impuestos diferidos (Neto) ,- ,395 ,"2,830 ",- ,- ,109 
Créditos diferidos y Cobros Anticipados ,- ,"1,107 ",53 ,99 ,- ,0 
TOTAL PASIVOS ,0 ,"1,090,870 ","213,259 ","32,493 ",468 ,"277,574 "
CAPITAL ,,,,,,
Capital contribuido ,"63,198 ","22,237 ","21,370 ","12,310 ",87 ,"2,061 "
Capital Social ,"14,941 ","18,795 ","15,776 ","12,294 ",87 ,"1,985 "
Prima en venta de acciones ,"48,257 ","3,442 ","5,594 ",16 ,- ,77 
Aportaciones para futuros aumentos de capital acordadas por su órgano de gobierno ,- ,- ,- ,- ,- ,- 
Capital Ganado ,"163,160 ","121,176 ","17,484 ","(2,812) ",208 ,"3,476 "
Reservas de capital ,"8,415 ","18,959 ","1,278 ",703 ,59 ,350 
Resultado de ejercicios anteriores ,"139,614 ","91,819 ","13,049 ","(3,863) ",136 ,"2,238 "
Res. por valuación de títulos disponibles para la venta ,"2,657 ","2,666 ",71 ,- ,- ,71 
Res. por valuación de instrumentos de cobertura de flujos de efectivo ,"(2,451) ","(2,496) ",- ,- ,- ,- 
Resultado en la Valuación de la Reserva de Riesgos en curso por variaciones en las tasas ,(103) ,- ,(103) ,- ,- ,- 
Efecto acumulado por conversión ,132 ,5 ,- ,- ,- ,128 
Exceso (insuf.) en la actualiz. del Cap. Cont. ,- ,- ,- ,- ,- ,- 
Remediciones por beneficios definidos a los empleados ,"(2,199) ","(2,272) ",10 ,- ,- ,- 
Resultado neto ,"17,097 ","12,495 ","3,179 ",347 ,13 ,690 
Capital Mayoritario ,"226,358 ","143,412 ","38,854 ","9,497 ",296 ,"5,538 "
Participación no controladora ,- ,4 ,335 ,184 ,0 ,- 
Total Capital Contable ,"226,358 ","143,416 ","39,189 ","9,682 ",296 ,"5,538 "
TOTAL PASIVOS Y CAPITAL ,"226,358 ","1,234,286 ","252,448 ","42,174 ",764 ,"283,112 "


